"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",5711,0.00893013482752583,0.0420241638942392,0.0118097196743208,0.047672238710824
"AUS",103,0,0.00970873786407767,0.0448772760318676,0.0599550859514193
"BDL",405,0.0123456790123457,0.0296296296296296,0.0299413823724685,0.0522105704277412
"BHM",653,0.0214395099540582,0.0719754977029096,0.0363804978860377,0.095080388054371
"BNA",444,0.0112612612612613,0.0315315315315315,0.02734375,0.0532496518939637
"BOS",2546,0.0219952867242734,0.0655930871956009,0.0286499326890767,0.0761269265795289
"BWI",1070,0.0102803738317757,0.0514018691588785,0.0187777719429328,0.0667537402079858
"CHS",595,0.0168067226890756,0.0705882352941176,0.0314832294519207,0.0947745515763427
"CLE",403,0.0297766749379653,0.0694789081885856,0.0524655598361067,0.0996142438739566
"CLT",3245,0.0073959938366718,0.0446841294298921,0.0111287018630219,0.0525373343270444
"CMH",721,0.00832177531206657,0.102635228848821,0.0187938723360589,0.12758129158177
"CVG",689,0.0145137880986938,0.0957910014513788,0.0272264889479461,0.120724939581499
"DCA",3203,0.0137371214486419,0.0630658757414923,0.0185428828833292,0.0722301970834802
"DEN",1181,0.00508044030482642,0.0584250635055038,0.0115086304185299,0.0737043409333828
"DFW",3943,0.0126806999746386,0.0958660918082678,0.016804379780289,0.105665805188301
"DTW",1315,0.00456273764258555,0.0456273764258555,0.0103409197721299,0.058660682986507
"EWR",2859,0.0150402238544946,0.0734522560335782,0.0203669410407529,0.0838356784909519
"GSO",334,0.0239520958083832,0.0658682634730539,0.0480186224226824,0.0989458520768736
"IAD",790,0.00379746835443038,0.0582278481012658,0.0119118799552257,0.0773690732435285
"IAH",3222,0.0111731843575419,0.0741775294847921,0.0155784254389914,0.0839634529424512
"IND",186,0.032258064516129,0.0645161290322581,0.0712446414600802,0.11159125684961
"JAX",840,0.0226190476190476,0.0607142857142857,0.0356047532427213,0.07949720954019
"JFK",3737,0.0171260369280171,0.0939256087770939,0.021947102901242,0.103918687350826
"LAS",1433,0.0111653872993719,0.0460572226099093,0.0183938553779908,0.0585229479562311
"LAX",3190,0.00470219435736677,0.0382445141065831,0.00789738159888338,0.045658880950194
"LGA",6563,0.0223982934633552,0.0856315709279293,0.0263643315278423,0.0927991405958058
"MCI",107,0,0.0280373831775701,0.0432687384927773,0.0844166811344688
"MCO",3281,0.00457177689728741,0.0569948186528497,0.00767879645230686,0.0656599003377848
"MEM",334,0.029940119760479,0.0808383233532934,0.055633449601726,0.11626606149655
"MSP",914,0.00437636761487965,0.0317286652078775,0.0118550582822926,0.0456926970146341
"MSY",900,0.00555555555555556,0.0377777777777778,0.0135740882697741,0.0528303479650739
"ORD",4138,0.0164330594490092,0.083373610439826,0.0209056499470352,0.0923856033381329
"ORF",590,0.0288135593220339,0.0864406779661017,0.0464263277632775,0.112618641728565
"PHL",2760,0.0144927536231884,0.0865942028985507,0.0198489968094116,0.0979247074616439
"PHX",708,0.00706214689265537,0.0437853107344633,0.0172267229956929,0.0621063424056621
"PIT",257,0.0233463035019455,0.0739299610894942,0.0519903618943627,0.114132978881382
"PNS",852,0.028169014084507,0.0751173708920188,0.0421051028143424,0.0953377657149646
"RDU",1159,0.0094909404659189,0.0457290767903365,0.0173436685143571,0.0597398334619655
"RIC",189,0.0158730158730159,0.0846560846560847,0.0487763036446139,0.135129076490753
"SAN",402,0.00746268656716418,0.0248756218905473,0.0232623469509599,0.0463671134062089
"SAT",103,0,0.0388349514563107,0.0448772760318676,0.100557415259892
"SDF",128,0.0390625,0.0625,0.0920400492836695,0.121820235805539
"SEA",369,0.002710027100271,0.02710027100271,0.0172926080095984,0.0504446287971524
"SFO",1116,0.0125448028673835,0.0654121863799283,0.0213773674913853,0.0819022610687139
"SJU",2479,0.00322710770471964,0.0475998386446148,0.00656939458640696,0.0569363402228757
"SLC",103,0.00970873786407767,0.0679611650485437,0.0599550859514193,0.137776839130908
"STL",634,0.0110410094637224,0.0851735015772871,0.0234444042977501,0.110179786589674
"TPA",2263,0.00574458683163942,0.0472823685373398,0.0100221869841836,0.0570676874196274
"TUL",52,0,0,0.0853117910592438,0.0853117910592438
