"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3461,0.00635654435134354,0.0404507367812771,0.00974429081790605,0.0477169680315491,0.00661727277868899,0.0410008529997157
"BOS",670,0.0298507462686567,0.0880597014925373,0.0463300619448227,0.112606640919039,0.0287171229200215,0.0870523415977961
"BWI",954,0.0188679245283019,0.0911949685534591,0.0301152562241017,0.11165988289106,0.0188495919160513,0.0902970297029703
"CLE",832,0.00961538461538462,0.0396634615384615,0.0194815971698676,0.0557198907866189,0.0103615520282187,0.0418918918918919
"CLT",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"CVG",425,0.0117647058823529,0.08,0.0285504762207815,0.110688747630953,0.0127948820471811,0.0794178794178794
"DAL",84,0,0.0238095238095238,0.0545011497917969,0.0898640191326543,0.00879396984924623,0.0442857142857143
"DCA",1180,0.0305084745762712,0.0703389830508475,0.0423389951073736,0.0867946682191745,0.0297960484384959,0.0705501618122977
"DEN",2375,0.00757894736842105,0.0917894736842105,0.0121507338321591,0.104354723831077,0.00791772100236715,0.0914027149321267
"DFW",1333,0.0360090022505626,0.108027006751688,0.0477750023490823,0.12625915742531,0.0350802442834825,0.106695464362851
"DTW",1949,0.0118009235505387,0.0564391995895331,0.0178882692042836,0.067870015232764,0.0120541448473471,0.0569576059850374
"EWR",1049,0.0600571973307912,0.114394661582459,0.0765611762294444,0.135585592992187,0.0572851805728518,0.112398190045249
"FLL",382,0.0130890052356021,0.0445026178010471,0.031718401956957,0.0712449050705643,0.0139982502187227,0.0484018264840183
"IAH",1041,0.0249759846301633,0.107588856868396,0.0367849384495704,0.128378714956249,0.0245475721196918,0.105925250683683
"LAS",1113,0.0107816711590297,0.0718778077268643,0.0191909315740805,0.0890182062542414,0.0112775626998822,0.072027373823781
"LAX",411,0.0121654501216545,0.0802919708029197,0.0295100860261146,0.111619818440042,0.0131633072809543,0.0796573875802998
"LGA",1313,0.0571210967250571,0.145468392993145,0.0713964794425871,0.166035236966092,0.0550352975075638,0.142585829072316
"MCI",671,0.00447093889716841,0.0417287630402385,0.0140082099278234,0.0603085218807003,0.00589654248190834,0.0442916093535076
"MCO",1375,0.00872727272727273,0.088,0.0155512918778135,0.104545867418565,0.00924010481312922,0.0874912648497554
"MSP",2493,0.00802246289610911,0.0437224227837946,0.0125508269293841,0.052702298191636,0.00833268437037614,0.044409572381326
"MSY",121,0,0.0330578512396694,0.0384456677334402,0.0862396652705015,0.00713557594291539,0.0463276836158192
"ORD",5539,0.0561473190106517,0.145874706625745,0.0626682450122203,0.155619319765777,0.0556446154394215,0.145165326184093
"PHX",1509,0.00662690523525514,0.0510271703114645,0.012492183633203,0.0636523977843093,0.00719606110339604,0.0518849840255591
"RSW",639,0.00625978090766823,0.081377151799687,0.0169145709014262,0.105857344979852,0.00756090730887707,0.080863309352518
"SAN",12,0,0.166666666666667,0.290359456941537,0.46650635094611,0.0160550458715596,0.0911764705882353
"SEA",381,0.010498687664042,0.0288713910761155,0.0282094953759835,0.0521774317205782,0.0118369136343709,0.0347826086956522
"SFO",418,0.00717703349282297,0.129186602870813,0.0223828514540629,0.165730456055971,0.0089213300892133,0.122784810126582
"STL",653,0.00459418070444104,0.0551301684532925,0.0143913031876431,0.0760532364936813,0.00604229607250755,0.0566995768688293
"TPA",661,0.0075642965204236,0.0726172465960666,0.0184414720759814,0.0956392307611241,0.008693289866884,0.0728033472803347
