"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",849,0.00588928150765607,0.0541813898704358,0.0143842274146539,0.0720526356062901,827,0.0060459492140266,0.0386940749697703,0.0147643426908347,0.0546580523026926
"CID",1,0,0,0.838178046004133,0.838178046004133,0,0,0,0,0
"CVG",104,0,0.0192307692307692,0.0444640333599146,0.0733817319601969,107,0.00934579439252336,0.0373831775700935,0.0578105295919729,0.0969795975087198
"DEN",1065,0.0215962441314554,0.0901408450704225,0.0326308480112391,0.109326143941073,1119,0.0151921358355675,0.102770330652368,0.0246159708077817,0.122417972588939
"DFW",1406,0.0675675675675676,0.137980085348506,0.0822752470294101,0.157433416300437,1405,0.0555160142348754,0.111743772241993,0.0691080813054951,0.129704418032852
"DTW",1362,0.0124816446402349,0.052129221732746,0.0202466739977361,0.0656113770465947,1367,0.00950987564008778,0.0599853694220922,0.016559792964379,0.0742231119260681
"EWR",379,0.0580474934036939,0.197889182058047,0.0874308284193447,0.24200230804009,378,0.0396825396825397,0.111111111111111,0.065603754171504,0.147851027389108
"IAD",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"IAH",2,0,0,0.718233512793084,0.718233512793084,1,0,0,0.838178046004133,0.838178046004133
"LGA",105,0.0571428571428571,0.123809523809524,0.123351446956722,0.203607972706442,161,0.111801242236025,0.248447204968944,0.172028425654424,0.322369123626782
"MCO",21,0.0476190476190476,0.19047619047619,0.249984614474175,0.410833252032501,21,0.0476190476190476,0.238095238095238,0.249984614474175,0.459599554565149
"MSP",1278,0.00782472613458529,0.0485133020344288,0.0147392369007188,0.0620869821955178,1239,0.00968523002421308,0.0540758676351897,0.0172494391599243,0.0685000456468533
"ORD",3796,0.0640147523709167,0.130927291886196,0.0724418331902453,0.142273697116285,3744,0.0598290598290598,0.132745726495726,0.0680752426237805,0.144235955299864
"SFO",1,0,0,0.838178046004133,0.838178046004133,2,0,0,0.718233512793084,0.718233512793084
"SLC",265,0.00754716981132075,0.0226415094339623,0.0296288060838418,0.0504539129286316,265,0.00754716981132075,0.0264150943396226,0.0296288060838418,0.0553857783161997
"BNA",0,0,0,0,0,1,0,0,0.838178046004133,0.838178046004133
