"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",849,0.00588928150765607,0.0541813898704358,0.0143842274146539,0.0720526356062901,0.00692490802856525,0.0554696132596685
"CID",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"CVG",104,0,0.0192307692307692,0.0444640333599146,0.0733817319601969,0.0078125,0.03875
"DEN",1065,0.0215962441314554,0.0901408450704225,0.0326308480112391,0.109326143941073,0.0213997544290475,0.0893844781445138
"DFW",1406,0.0675675675675676,0.137980085348506,0.0822752470294101,0.157433416300437,0.0650823656494734,0.135567715458276
"DTW",1362,0.0124816446402349,0.052129221732746,0.0202466739977361,0.0656113770465947,0.0128026718619538,0.0530324400564175
"EWR",379,0.0580474934036939,0.197889182058047,0.0874308284193447,0.24200230804009,0.0515191545574637,0.182068965517241
"IAD",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"IAH",2,0,0,0.718233512793084,0.718233512793084,0.0181347150259067,0.0724137931034483
"LGA",105,0.0571428571428571,0.123809523809524,0.123351446956722,0.203607972706442,0.0410654827968923,0.106832298136646
"MCO",21,0.0476190476190476,0.19047619047619,0.249984614474175,0.410833252032501,0.0249480249480249,0.106493506493506
"MSP",1278,0.00782472613458529,0.0485133020344288,0.0147392369007188,0.0620869821955178,0.0084244753177653,0.0496251874062969
"ORD",3796,0.0640147523709167,0.130927291886196,0.0724418331902453,0.142273697116285,0.063132878693945,0.130114226375909
"SFO",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"SLC",265,0.00754716981132075,0.0226415094339623,0.0296288060838418,0.0504539129286316,0.00999412110523222,0.0317757009345794
