"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",3664,0.0240174672489083,0.0966157205240175,0.0296454324757442,0.106831503034138,3665,0.0199181446111869,0.103137789904502,0.0251138089720387,0.113631246996447
"AS",610,0.00491803278688525,0.0295081967213115,0.0153972145117014,0.0469012927538573,611,0,0.0180032733224223,0.00784361676598114,0.0327389927972519
"DL",55423,0.00339209353517493,0.0379986648142468,0.00392445570130905,0.0396568970775107,55419,0.0036088706039445,0.0359804399213266,0.00415664061228791,0.0375968370140023
"EV",7136,0.030969730941704,0.110846412556054,0.0353496174715702,0.118501524053078,7160,0.0284916201117318,0.0930167597765363,0.0327037520440006,0.100114806662101
"F9",1540,0.00519480519480519,0.0798701298701299,0.0105596120318792,0.0948422503437118,1539,0.00389863547758285,0.0851202079272255,0.00884132899002368,0.100485204541611
"FL",433,0.0277136258660508,0.0438799076212471,0.0488843684025267,0.0685176771890621,432,0.0115740740740741,0.0231481481481481,0.028093699737917,0.0431931095714315
"MQ",406,0.0862068965517241,0.251231527093596,0.118545404685044,0.296635090987963,406,0.0738916256157636,0.226600985221675,0.104544462299287,0.270788707015789
"NK",1913,0.0313643491897543,0.171458442237324,0.0404231924491347,0.18938814353184,1913,0.0277051751176163,0.152117093570308,0.0363161569451238,0.169280025227485
"OO",9287,0.0116291590395176,0.0658985678905998,0.0140836976010521,0.0712401815400088,9307,0.015257333190072,0.0693026754056087,0.0180231650633207,0.0747581426474935
"UA",2210,0.0158371040723982,0.0923076923076923,0.0221605432029099,0.105391763788407,2213,0.0162675101671939,0.115680072300045,0.0226534558160464,0.12999446305837
"US",4233,0.01252067091897,0.0470115757146232,0.0164587712328861,0.05397077062412,4234,0.00708549834671705,0.0460557392536608,0.0102102204285896,0.0529521324862287
"WN",7638,0.0150562974600681,0.0608798114689709,0.01811921807648,0.0665897616389551,7640,0.0130890052356021,0.0723821989528796,0.0159685755515006,0.0785418843508194
