"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",3213,0.0227201991907874,0.0771864301276066,0.0286345711182686,0.0871523756232803,0.0226263609269509,0.0771489752217804,3213,0.0205415499533147,0.0896358543417367,0.0262098804915056,0.100244759170409,0.0204975366461894,0.0893851330682166
"AS",365,0.00821917808219178,0.0328767123287671,0.0255873539040982,0.0578319300918365,0.00999545661063153,0.038479809976247,365,0.00547945205479452,0.0136986301369863,0.0216213027333306,0.0331736365924439,0.00772376192639709,0.0218527315914489
"B6",1340,0.0208955223880597,0.111194029850746,0.0303805816046557,0.129579385845954,0.0207744488411532,0.10974212034384,1339,0.0201643017176998,0.0970873786407767,0.0295259945835056,0.114534484818835,0.0200820251732428,0.0962007168458781
"DL",7366,0.00773825685582406,0.0487374423024708,0.0100815029960411,0.0540105360431838,0.00784819652744181,0.0489355968741579,7364,0.00774035850081477,0.0446768060836502,0.0100842372858673,0.0497502848593065,0.00785030648456823,0.0449056603773585
"EV",1065,0.0356807511737089,0.0938967136150235,0.0490273164656889,0.113387463790492,0.0345553411682161,0.0929527207850134,1063,0.0272812793979304,0.0884289746001881,0.0393369951275313,0.107491661756077,0.0267088385169566,0.0877569258266309
"F9",352,0.00852272727272727,0.170454545454545,0.0265185939682261,0.214357160413045,0.0102996254681648,0.157352941176471,351,0.00284900284900285,0.113960113960114,0.0181674183418601,0.152593290275092,0.00563115908024402,0.108599508599509
"FL",417,0.00479616306954436,0.0215827338129496,0.0189571312891063,0.041677003216811,0.00690776107273466,0.027906976744186,417,0.00239808153477218,0.0287769784172662,0.0153247913158782,0.0507312045825953,0.00487606663957741,0.0342494714587738
"MQ",27,0.111111111111111,0.148148148148148,0.293407452637701,0.335464950020664,0.0430528375733855,0.0987951807228916,27,0.111111111111111,0.148148148148148,0.293407452637701,0.335464950020664,0.0430528375733855,0.0987951807228916
"NK",905,0.0320441988950276,0.179005524861878,0.0461430163680421,0.205926501282002,0.0310140787594369,0.172944849115505,905,0.0265193370165746,0.152486187845304,0.0396602138506265,0.177960209514925,0.0259130789634768,0.147970863683663
"OO",452,0.0132743362831858,0.079646017699115,0.0298399411236923,0.109219197674891,0.0140364188163885,0.0791338582677165,451,0.0133037694013304,0.0975609756097561,0.0299052815903154,0.1293641927176,0.0140630938806537,0.095069033530572
"UA",4973,0.0112608083651719,0.0733963402372813,0.0146961090822627,0.0811482418552813,0.011370389445743,0.0734141976536091,4974,0.0112585444310414,0.0786087655810213,0.0146931604732629,0.0865912438787778,0.0113681375267369,0.0785685884691849
"US",2337,0.0094137783483098,0.0419341035515618,0.0144158928241472,0.0510756814175949,0.00970068816847691,0.0427078980359382,2336,0.00770547945205479,0.0440924657534247,0.0123529771371628,0.0534311219578124,0.00804578633045786,0.0448160535117057
"WN",18304,0.0121831293706294,0.0564903846153846,0.013918237080119,0.0600025132695679,0.0122094541655785,0.0565468409586057,18304,0.0122923951048951,0.0586210664335664,0.0140346103688287,0.0621924886019136,0.0123182728301558,0.0586710239651416
