"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",900,0.00777777777777778,0.0533333333333333,0.0165597987093456,0.070514904771194,0.00861361771944217,0.054602510460251
"ATL",5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934
"AUS",361,0,0.0692520775623269,0.0132073078491138,0.101371364192313,0.00320953690967446,0.0700239808153477
"BNA",24,0,0.0833333333333333,0.168769306267035,0.275117157110364,0.0141129032258065,0.0775
"BOI",719,0.00139082058414465,0.0570236439499305,0.00893071536859483,0.077066250853314,0.00302190883908335,0.0583225806451613
"BOS",93,0,0.10752688172043,0.0494754248256694,0.190572280527439,0.00832342449464923,0.0953020134228188
"BUR",4133,0.0270989595935156,0.0633922090491169,0.032646333451128,0.0714146003240081,0.0269473884321087,0.0635473860109811
"BWI",295,0.00677966101694915,0.0508474576271186,0.0266660670872551,0.0836399894288153,0.00918422474338196,0.0547008547008547
"DAL",248,0,0.0524193548387097,0.0191157970202185,0.0893329179708275,0.00433168316831683,0.056578947368421
"DEN",1370,0.0072992700729927,0.062043795620438,0.0137539175549717,0.0764588811047357,0.00788818156656518,0.0625525946704067
"DFW",182,0.021978021978022,0.0824175824175824,0.0581683654484677,0.133657742387241,0.02099533437014,0.080672268907563
"GEG",707,0.00141442715700141,0.0509193776520509,0.00908127378125251,0.0703162332427556,0.00306826898491434,0.0526867627785059
"HNL",566,0.00530035335689046,0.0459363957597173,0.0165832949462711,0.0672277170520129,0.00686213349968809,0.0485530546623794
"HOU",681,0.00440528634361234,0.0616740088105727,0.0138040648141202,0.0829683952007825,0.0058185665167945,0.0626865671641791
"IAH",76,0.0263157894736842,0.131578947368421,0.0987339717240448,0.229843597113357,0.0224867724867725,0.107575757575758
"JFK",308,0.0357142857142857,0.0844155844155844,0.064292541222807,0.122105659549096,0.0323590814196242,0.082967032967033
"KOA",298,0.00335570469798658,0.0268456375838926,0.0213471949311616,0.0537051744034113,0.00643086816720257,0.0344632768361582
"LAS",3423,0.0105170902716915,0.0739117732982764,0.0146659713688081,0.0833750377793448,0.010691212623635,0.0739292900258695
"LAX",6911,0.0332802778179713,0.0939082621907105,0.0378810861194459,0.101166739820444,0.0331224413844436,0.0937562796038467
"LGB",1158,0.00863557858376511,0.0492227979274611,0.0162584651773123,0.0636550813586253,0.00924424262082387,0.0504118616144975
"LIH",200,0,0.005,0.0236006281168767,0.0315614506870536,0.00508720930232558,0.0203125
"MCI",331,0,0.0604229607250755,0.0143879743861296,0.092739026417447,0.0034465780403742,0.0625322997416021
"MDW",1105,0.0117647058823529,0.069683257918552,0.0204629427796824,0.0866830830047024,0.0122013218098627,0.0699397071490095
"MSY",24,0,0.0416666666666667,0.168769306267035,0.22404529834071,0.0141129032258065,0.065
"OGG",730,0.00273972602739726,0.0328767123287671,0.010884313253157,0.049067835621775,0.00422255340288127,0.0358778625954198
"ONT",2326,0.00386930352536543,0.0541702493551161,0.0075611902022942,0.0643764431626622,0.0043311677494586,0.0546599496221662
"ORD",181,0.0220994475138122,0.132596685082873,0.0584804420607875,0.191644863519498,0.0210772833723653,0.118987341772152
"PDX",1932,0.0025879917184265,0.05175983436853,0.00634397092443582,0.0628407584429404,0.00318852132323635,0.0524144869215292
"PHX",2838,0.00669485553206483,0.0532064834390416,0.0106021207632421,0.0623024333326725,0.00700260881504874,0.053628196268141
"SAN",3906,0.0273937532002048,0.0727086533538146,0.0331425854062899,0.0814738041003814,0.0272279714658897,0.0727410398788491
"SEA",3579,0.00307348421346745,0.0466610785135513,0.0056371780189227,0.0542504662432996,0.00339335559082699,0.0470976616231087
"SLC",2353,0.00169995750106247,0.0382490437739057,0.00462144254117632,0.0470111206859916,0.0022238695329874,0.0391033623910336
"SNA",2695,0.00667903525046382,0.037847866419295,0.0107117714275881,0.0459426672734646,0.00700310446899141,0.0386041439476554
