"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",902,0.00776053215077605,0.0476718403547672,0.0165233159996553,0.0641048295765068,0.00859598853868195,0.0492693110647182,900,0.00777777777777778,0.0533333333333333,0.0165597987093456,0.070514904771194,0.00861361771944217,0.054602510460251
"ATL",5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934,5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934
"AUS",364,0.00549450549450549,0.0164835164835165,0.0216798953059526,0.0369430131778312,0.00774134790528233,0.0242857142857143,361,0,0.0692520775623269,0.0132073078491138,0.101371364192313,0.00320953690967446,0.0700239808153477
"BNA",24,0.0416666666666667,0.166666666666667,0.22404529834071,0.36937432809766,0.0241935483870968,0.1025,24,0,0.0833333333333333,0.168769306267035,0.275117157110364,0.0141129032258065,0.0775
"BOI",716,0.00418994413407821,0.0656424581005587,0.0131341397949634,0.086826691333893,0.00556117290192113,0.0663212435233161,719,0.00139082058414465,0.0570236439499305,0.00893071536859483,0.077066250853314,0.00302190883908335,0.0583225806451613
"BOS",93,0.010752688172043,0.0752688172043011,0.066083632080853,0.151699740057142,0.014268727705113,0.0751677852348993,93,0,0.10752688172043,0.0494754248256694,0.190572280527439,0.00832342449464923,0.0953020134228188
"BUR",4106,0.0272771553823673,0.0664880662445202,0.0328603215016666,0.0747049787990337,0.0271214005548646,0.0666025949062951,4133,0.0270989595935156,0.0633922090491169,0.032646333451128,0.0714146003240081,0.0269473884321087,0.0635473860109811
"BWI",295,0.0169491525423729,0.0949152542372881,0.040900318127832,0.135084861968683,0.0172879524581307,0.0917378917378917,295,0.00677966101694915,0.0508474576271186,0.0266660670872551,0.0836399894288153,0.00918422474338196,0.0547008547008547
"DAL",248,0,0.0241935483870968,0.0191157970202185,0.0538346775452796,0.00433168316831683,0.0335526315789474,248,0,0.0524193548387097,0.0191157970202185,0.0893329179708275,0.00433168316831683,0.056578947368421
"DEN",1374,0.00873362445414847,0.0662299854439592,0.0155625571786229,0.0810051465374081,0.00924648081700248,0.0665734265734266,1370,0.0072992700729927,0.062043795620438,0.0137539175549717,0.0764588811047357,0.00788818156656518,0.0625525946704067
"DFW",182,0.0274725274725275,0.17032967032967,0.0655428841681039,0.233441955379387,0.0248833592534992,0.147899159663866,182,0.021978021978022,0.0824175824175824,0.0581683654484677,0.133657742387241,0.02099533437014,0.080672268907563
"GEG",693,0,0.0735930735930736,0.00692161579325674,0.0961200791642355,0.00182244207237699,0.07369826435247,707,0.00141442715700141,0.0509193776520509,0.00908127378125251,0.0703162332427556,0.00306826898491434,0.0526867627785059
"HNL",566,0.00706713780918728,0.0353356890459364,0.0190756617028453,0.0547333623987342,0.00842170929507174,0.0389067524115756,566,0.00530035335689046,0.0459363957597173,0.0165832949462711,0.0672277170520129,0.00686213349968809,0.0485530546623794
"HOU",677,0.0103397341211226,0.0384047267355982,0.0219680184374347,0.0563335627668449,0.0111672427545865,0.0412005457025921,681,0.00440528634361234,0.0616740088105727,0.0138040648141202,0.0829683952007825,0.0058185665167945,0.0626865671641791
"IAH",76,0.0394736842105263,0.236842105263158,0.116626587736527,0.346824583655185,0.0291005291005291,0.168181818181818,76,0.0263157894736842,0.131578947368421,0.0987339717240448,0.229843597113357,0.0224867724867725,0.107575757575758
"JFK",307,0.0130293159609121,0.0912052117263844,0.0348922581844452,0.129944390902101,0.0141287284144427,0.0887052341597796,308,0.0357142857142857,0.0844155844155844,0.064292541222807,0.122105659549096,0.0323590814196242,0.082967032967033
"KOA",298,0,0.023489932885906,0.0159571056768531,0.0493705954414038,0.0037513397642015,0.031638418079096,298,0.00335570469798658,0.0268456375838926,0.0213471949311616,0.0537051744034113,0.00643086816720257,0.0344632768361582
