"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ANC",67,0,0.0746268656716418,0.0674409233585537,0.169350515563128,0.00984528832630099,0.0747967479674797,66,0.0151515151515152,0.0303030303030303,0.0912722574765999,0.112629046426013,0.0169971671388102,0.0508196721311475
"DEN",218,0.0229357798165138,0.0596330275229358,0.0549883325587169,0.101259920104452,0.0218281036834925,0.0627737226277372,218,0.036697247706422,0.123853211009174,0.0728849959102856,0.175866004847837,0.0320600272851296,0.113868613138686
"DFW",545,0.0220183486238532,0.0954128440366973,0.0389567994971391,0.123780387204352,0.0216059335698162,0.0935108153078203,545,0.0165137614678899,0.172477064220183,0.0319971949211786,0.207286611965264,0.0167687842631409,0.163394342762063
"HNL",9410,0.00467587672688629,0.0144527098831031,0.00632371771998275,0.017136375612641,0.00478640408214903,0.0148109021762096,9470,0.00401267159450898,0.00950369588173178,0.00555439936750609,0.011725771191239,0.00412772912039559,0.00988872559311358
"KOA",830,0,0.00963855421686747,0.00578541209791533,0.0195282062054933,0.00154661953159523,0.0137697516930023,830,0,0.0132530120481928,0.00578541209791533,0.0241662831863616,0.00154661953159523,0.0171557562076749
"LAX",3100,0.0129032258064516,0.0593548387096774,0.01767831581987,0.0684428167176497,0.0130385487528345,0.0596324461343473,3100,0.00709677419354839,0.0632258064516129,0.0108762908376869,0.0725612496819117,0.00736961451247165,0.0634347275031686
"LIH",1519,0.00197498354180382,0.00921658986175115,0.00621456921997339,0.0157307069762544,0.00276000501819094,0.0115555555555556,1459,0.00274160383824537,0.00822481151473612,0.00744287314445156,0.0146598929382719,0.00351974970668752,0.0106930693069307
"OAK",730,0.00273972602739726,0.0328767123287671,0.010884313253157,0.049067835621775,0.00422255340288127,0.0358778625954198,730,0.00273972602739726,0.0219178082191781,0.010884313253157,0.0359408618608181,0.00422255340288127,0.0256997455470738
"ORD",90,0.0111111111111111,0.1,0.0681742039004684,0.183330448458892,0.0145278450363196,0.0904109589041096,90,0.0111111111111111,0.133333333333333,0.0681742039004684,0.222378632107463,0.0145278450363196,0.110958904109589
"PDX",607,0.00494233937397035,0.0230642504118616,0.0154726676546766,0.0391072975733218,0.00644972148929933,0.0274509803921569,610,0.00491803278688525,0.0163934426229508,0.0153972145117014,0.0307168841253851,0.00642148277875073,0.0213213213213213
"PHX",596,0.0302013422818792,0.0402684563758389,0.0479898955091921,0.0599577241603793,0.0289034564958284,0.0432515337423313,596,0.0134228187919463,0.0671140939597315,0.0271193820679038,0.0908326666559997,0.0140047675804529,0.0677914110429448
"SAN",429,0.00466200466200466,0.027972027972028,0.0184329824065154,0.0493333565491535,0.00674335581118604,0.0334020618556701,429,0.00466200466200466,0.0116550116550117,0.0184329824065154,0.0282876590843123,0.00674335581118604,0.0189690721649485
"SEA",1204,0.00166112956810631,0.0390365448504983,0.00661702979481182,0.0519148347008813,0.00265791119449656,0.0406349206349206,1201,0.00915903413821815,0.0416319733555371,0.0167403311251672,0.0548610696800465,0.00971634540040746,0.0431185361972952
"SFO",1232,0.0251623376623377,0.0762987012987013,0.0358695092338365,0.0928960608993274,0.0247858017135863,0.0762422360248447,1231,0.016246953696182,0.0861088545897644,0.0253416211339073,0.10352633286362,0.0163834022354923,0.0856254856254856
"SJC",730,0.00136986301369863,0.0328767123287671,0.00879702335155478,0.049067835621775,0.0029806259314456,0.0358778625954198,730,0.00547945205479452,0.0397260273972603,0.014821410519689,0.0570815275178653,0.00670640834575261,0.0422391857506361
"SMF",365,0,0.0136986301369863,0.0130643674688631,0.0331736365924439,0.00318037255792821,0.0218527315914489,365,0.00547945205479452,0.0356164383561644,0.0216213027333306,0.0612110975375311,0.00772376192639709,0.040855106888361
