"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ANC",67,0,0.0746268656716418,0.0674409233585537,0.169350515563128
"DEN",218,0.0229357798165138,0.0596330275229358,0.0549883325587169,0.101259920104452
"DFW",545,0.0220183486238532,0.0954128440366973,0.0389567994971391,0.123780387204352
"HNL",9410,0.00467587672688629,0.0144527098831031,0.00632371771998275,0.017136375612641
"KOA",830,0,0.00963855421686747,0.00578541209791533,0.0195282062054933
"LAX",3100,0.0129032258064516,0.0593548387096774,0.01767831581987,0.0684428167176497
"LIH",1519,0.00197498354180382,0.00921658986175115,0.00621456921997339,0.0157307069762544
"OAK",730,0.00273972602739726,0.0328767123287671,0.010884313253157,0.049067835621775
"ORD",90,0.0111111111111111,0.1,0.0681742039004684,0.183330448458892
"PDX",607,0.00494233937397035,0.0230642504118616,0.0154726676546766,0.0391072975733218
"PHX",596,0.0302013422818792,0.0402684563758389,0.0479898955091921,0.0599577241603793
"SAN",429,0.00466200466200466,0.027972027972028,0.0184329824065154,0.0493333565491535
"SEA",1204,0.00166112956810631,0.0390365448504983,0.00661702979481182,0.0519148347008813
"SFO",1232,0.0251623376623377,0.0762987012987013,0.0358695092338365,0.0928960608993274
"SJC",730,0.00136986301369863,0.0328767123287671,0.00879702335155478,0.049067835621775
"SMF",365,0,0.0136986301369863,0.0130643674688631,0.0331736365924439
