"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",2227,0.00987876066457117,0.0431073192635833,0.0151255561008679,0.0526038801396483
"BNA",1,0,0,0.838178046004133,0.838178046004133
"BWI",365,0.0164383561643836,0.104109589041096,0.036843353173782,0.140769272247348
"DAL",1086,0.00920810313075507,0.0515653775322284,0.0173302392532383,0.0668080403771202
"DEN",2253,0.0142032845095428,0.0932090545938748,0.0201921717245271,0.106211377677255
"DFW",2938,0.0313138189244384,0.111300204220558,0.0384359033677552,0.123449424286411
"DTW",408,0.0147058823529412,0.0833333333333333,0.0330137478344843,0.115203267347648
"EWR",169,0.106508875739645,0.27810650887574,0.164227675269826,0.35174947978277
"HOU",1323,0.0143613000755858,0.0748299319727891,0.0226769722299605,0.0906704622946271
"IAD",107,0.0373831775700935,0.130841121495327,0.0969795975087198,0.210819803858239
"IAH",1419,0.00916138125440451,0.0563777307963354,0.0159557505201738,0.0699797709209912
"LAS",726,0.0068870523415978,0.0743801652892562,0.0168028373858967,0.0964124848588835
"LAX",419,0.00715990453460621,0.0596658711217184,0.0223300858638248,0.0876008675630182
"MDW",508,0.0137795275590551,0.0511811023622047,0.029193421528677,0.0747842926047428
"MSP",556,0.00719424460431655,0.052158273381295,0.0194154719207415,0.0746837953630619
"ORD",2086,0.0426653883029722,0.145254074784276,0.052468330214779,0.161377718602815
"PHX",717,0.00697350069735007,0.0641562064156206,0.0170121401731397,0.0851417801706684
"SFO",363,0.00550964187327824,0.107438016528926,0.0217388063021276,0.144604179304148
"SLC",697,0.00573888091822095,0.0315638450502152,0.0155177870966905,0.047972571838176
"STL",514,0.00194552529182879,0.0447470817120623,0.0124595673102924,0.0670959521480161
