"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",50645,0.0214631256787442,0.0968308816270115,0.0227899191347233,0.0994911722135571,0.0214589059191407,0.0968067690972565,50642,0.0209904822084436,0.093736424311836,0.0223034155569919,0.0963591415182808,0.0209869630026894,0.0937157284311018
"AS",1814,0.00496141124586549,0.0562293274531422,0.00968820217080715,0.0680990655096486,0.00550497565106924,0.0567914438502674,1814,0.00441014332965821,0.0485115766262404,0.00896982236977912,0.0596799009017566,0.00497565106923566,0.0493048128342246
"B6",2411,0.0228121111571962,0.124844462878474,0.0297807080602732,0.138946852649153,0.0226852224278015,0.123713011755168,2412,0.0211442786069652,0.111525704809287,0.0278971977558648,0.125009402533894,0.0210678674815053,0.110696920583468
"DL",7289,0.00782000274386061,0.0766909041020716,0.0101878548235101,0.0831636454947295,0.00793025719019038,0.0766780122532335,7289,0.00782000274386061,0.0669501989298944,0.0101878548235101,0.073050701510993,0.00793025719019038,0.0670115724982982
"EV",28573,0.0378679172645505,0.122738249396283,0.0401927192505179,0.126673959004503,0.0378173846873451,0.12264487058577,29123,0.0419599629159084,0.127219036500361,0.0443741354784852,0.131175809380931,0.0418998431410155,0.12711881832825
"F9",2597,0.0146322680015402,0.185213708124759,0.0202043330830175,0.20094732280331,0.0147444053588803,0.182887297399171,2593,0.0127265715387582,0.181642884689549,0.0180023710319118,0.197280344782765,0.0128925867626115,0.179388448471121
"MQ",40674,0.0580223238432414,0.138565176771402,0.060384891143388,0.142027095196186,0.0579496039186045,0.13847778050577,40681,0.0652147194021779,0.161942921757086,0.0677063821891125,0.165629300423929,0.065128741148586,0.161823403785257
"NK",4916,0.0327502034174125,0.208299430431245,0.0382332828317042,0.22012046391405,0.0325372655874339,0.20679806918745,4916,0.0299023596419854,0.19446704637917,0.0351708534816004,0.206006185203249,0.029732328898862,0.193121480289622
"OO",26508,0.0397615814093858,0.143466123434435,0.0422331321727366,0.147826405772679,0.0397017665292365,0.143321788887216,26314,0.0446910389906514,0.143611765600061,0.0473094521368935,0.147990095125653,0.0446167371500462,0.143466059916572
"UA",59779,0.0219809632145068,0.121698255240135,0.023213127937881,0.124398076081137,0.0219767368037665,0.121654550012534,59911,0.0221829046418855,0.097260937056634,0.0234190225111974,0.099709222029827,0.0221784343732392,0.0972401487484783
"US",7210,0.0255201109570042,0.0739251040221914,0.0295151692767419,0.0803315409908176,0.0254488552133092,0.0739333883842554,7210,0.021497919556172,0.0901525658807212,0.0251990207296529,0.097131432491997,0.0214681820677538,0.0900357830993669
"VX",1497,0.00400801603206413,0.0754843019372077,0.0090884471782685,0.0903461888846471,0.00470678030784887,0.0754668383773342,1497,0.0053440213760855,0.0681362725450902,0.0108617270536174,0.0823962706898332,0.00597888309375398,0.0683837733419189
