"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",1813,0.0193050193050193,0.0761169332597904,0.0269901063600517,0.089562123409925,1813,0.0204081632653061,0.0810810810810811,0.0282637460475245,0.094876568706535
"B6",6816,0.0252347417840376,0.119424882629108,0.0293318321623064,0.127508027037455,6817,0.0234707349273874,0.109138917412351,0.0274375805808207,0.116926016265124
"DL",5814,0.0134158926728586,0.0665634674922601,0.0168039069307152,0.0734109040272228,5815,0.00859845227858985,0.0507308684436801,0.011403612360301,0.0568098047944635
"EV",201,0.0348258706467662,0.154228855721393,0.0725210462656803,0.212311417222137,201,0.0298507462686567,0.0895522388059701,0.0660750156674442,0.139008640323242
"F9",181,0.0220994475138122,0.0994475138121547,0.0584804420607875,0.15376742113804,181,0.0165745856353591,0.0773480662983425,0.0508718255814208,0.127817470647436
"NK",105,0.0285714285714286,0.0666666666666667,0.0859482565843359,0.135293190012173,105,0.0380952380952381,0.0857142857142857,0.0987361171839249,0.158620595456185
"OO",104,0.0288461538461538,0.0865384615384615,0.08673506997332,0.160059033579488,104,0.0192307692307692,0.0673076923076923,0.0733817319601969,0.136523728208685
"UA",2151,0.0255695025569503,0.0818224081822408,0.0333636364890627,0.0944582728352833,2152,0.0204460966542751,0.0929368029739777,0.0275599133949018,0.106243498994909
"US",3245,0.012326656394453,0.0409861325115562,0.0168905607871343,0.0485533998753279,3248,0.0107758620689655,0.0501847290640394,0.0150972077971705,0.0584348831529566
"WN",1953,0.0133128520225294,0.0768049155145929,0.0196765578493249,0.0897704262689273,1954,0.00614124872057318,0.0808597748208802,0.010958382714728,0.094097324022184
