"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",266,0.0037593984962406,0.0225563909774436,0.0238696401805075,0.0502682179669564,0.00703399765533412,0.0316770186335404,267,0,0.0149812734082397,0.0177784900237674,0.0400163973879826,0.00409117475160725,0.0253869969040248
"ANC",897,0.00111482720178372,0.00891861761426979,0.00716795750470795,0.0180792008548169,0.00246862785435096,0.0128016789087093,898,0.0044543429844098,0.0144766146993318,0.0120650316804141,0.0251455544125463,0.00554870530209618,0.0180293501048218
"ATL",1234,0.00243111831442464,0.020259319286872,0.00764385771310003,0.0301117571228642,0.00336083104185762,0.0226356589147287,1234,0.00162074554294976,0.0307941653160454,0.00645681158018682,0.0423611351303063,0.0025970058050718,0.0327131782945736
"AUS",43,0,0.0232558139534884,0.10143816221461,0.13514302822097,0.011844331641286,0.0525252525252525,43,0,0.0930232558139535,0.10143816221461,0.225012893490378,0.011844331641286,0.0828282828282828
"BOS",519,0.0115606936416185,0.0385356454720617,0.0260294892241031,0.0596202857209122,0.0124537192864355,0.0420869565217391,519,0.00770712909441233,0.0558766859344894,0.0207854631030968,0.079924411814306,0.00908784920902053,0.0577391304347826
"BUR",1015,0.0147783251231527,0.0443349753694581,0.0247076899702188,0.0592653274053968,0.0150431113557145,0.0459383753501401,1015,0.012807881773399,0.0502463054187192,0.0222656955798189,0.0659239571993647,0.0132085855806274,0.0515406162464986
"BWI",87,0.0229885057471264,0.172413793103448,0.0869351649569699,0.268529399052108,0.0209617755856967,0.134265734265734,87,0.0114942528735632,0.0919540229885057,0.0704013462528633,0.175460899969079,0.0147965474722565,0.0853146853146853
"CLT",279,0,0.014336917562724,0.0170262012788392,0.0383278043189452,0.00395256916996047,0.0244776119402985,279,0,0.0573476702508961,0.0170262012788392,0.0926183688991808,0.00395256916996047,0.0602985074626866
"DAL",84,0.0238095238095238,0.0714285714285714,0.0898640191326543,0.152199987496658,0.021356783919598,0.0728571428571429,84,0.0119047619047619,0.0357142857142857,0.0727788911385827,0.106173054485914,0.0150753768844221,0.0514285714285714
"DCA",365,0,0.0328767123287671,0.0130643674688631,0.0578319300918365,0.00318037255792821,0.038479809976247,365,0,0.0465753424657534,0.0130643674688631,0.0744997016600395,0.00318037255792821,0.0503562945368171
"DEN",3675,0.00816326530612245,0.0522448979591837,0.0117598253956726,0.0601012128877899,0.00837288677937177,0.0525864379522916,3694,0.00433134813210612,0.0698429886302112,0.00715646434473993,0.0787167886265581,0.00461636421521808,0.06992
"DFW",1827,0.0153256704980843,0.0574712643678161,0.0223180442223131,0.0694017336092355,0.0154557880349069,0.0579925650557621,1826,0.015881708652793,0.0744797371303395,0.0229731194290546,0.0877548926138698,0.0159899011150852,0.0744952178533475
"DTW",256,0.00390625,0.03125,0.0247848401110764,0.0623143720363862,0.0072463768115942,0.0391025641025641,256,0,0.0390625,0.0185289521450427,0.0721785884163852,0.00422705314009662,0.0455128205128205
"EWR",479,0.0104384133611691,0.0271398747390397,0.0253685682317804,0.0468421098862507,0.0115481775532299,0.0321495327102804,445,0.00898876404494382,0.11685393258427,0.0242007500996437,0.150968500241488,0.0103806228373702,0.112175648702595
"FAT",1,1,1,1,1,0.031496062992126,0.0912280701754386,1,1,1,1,1,0.031496062992126,0.0912280701754386
"HNL",736,0.00407608695652174,0.0203804347826087,0.0127797321348231,0.0339877579963947,0.00542406311637081,0.0242424242424242,737,0,0.0176390773405699,0.00651094130230676,0.0305899667866809,0.00172371337109086,0.0216897856242119
"HOU",64,0.03125,0.109375,0.115890735302667,0.214541977277404,0.0244252873563218,0.0933333333333333,64,0,0.0625,0.0703900321187786,0.157027319557339,0.0100574712643678,0.0683333333333333
"IAD",275,0.00363636363636364,0.0218181818181818,0.02310188916436,0.0486564965361777,0.00685322672758424,0.0308157099697885,275,0,0.116363636363636,0.0172697891029642,0.161033133661748,0.00399771559109081,0.109365558912387
"IAH",931,0.0075187969924812,0.0386680988184748,0.0160118215701203,0.0535568952694116,0.00834824090638044,0.0407294832826748,931,0.00537056928034372,0.0655209452201933,0.0131247675353136,0.0837757994605964,0.00636056450009938,0.0660587639311044
"JFK",881,0.0124858115777526,0.0726447219069239,0.0227773375283095,0.0922378290401128,0.0129679983267099,0.0727854855923159,881,0.0124858115777526,0.113507377979569,0.0227773375283095,0.13672245824551,0.0129679983267099,0.111205976520811
"KOA",176,0.00568181818181818,0.0113636363636364,0.0357506267081307,0.0441961436654686,0.00955414012738853,0.0267241379310345,176,0,0.0170454545454545,0.0267370541553548,0.0522754751024499,0.00557324840764331,0.0310344827586207
"LAS",2611,0.00497893527384144,0.0317885867483723,0.00868975861437755,0.0394405101321632,0.00536073263345991,0.0326959130108736,2629,0.00190186382655002,0.0448839863065804,0.00466557692392859,0.0537044538806029,0.00236668885437468,0.045512104283054
"LAX",2395,0.00250521920668058,0.0308977035490605,0.00568879297733902,0.0388316775428838,0.00299570884948587,0.0319053447572419,2394,0.00208855472013367,0.0242272347535505,0.0051225078261122,0.0313998727996188,0.00259193260975215,0.0253877551020408
"LGB",861,0.00464576074332172,0.0301974448315912,0.0125802996983018,0.0444049833351394,0.00576799829096347,0.0329334787350055,861,0.00232288037166086,0.0452961672473868,0.00923785055297423,0.0618486283800432,0.00363170262764367,0.0471101417666303
"LIH",101,0.0099009900990099,0.0198019801980198,0.0610881507402224,0.0754578070543831,0.0136208853575482,0.0394904458598726,101,0.0099009900990099,0.0297029702970297,0.0610881507402224,0.0891843600449509,0.0136208853575482,0.045859872611465
"MCI",364,0,0.00549450549450549,0.0130998117123387,0.0216798953059526,0.00318761384335155,0.0147619047619048,365,0,0.0767123287671233,0.0130643674688631,0.109755310666501,0.00318037255792821,0.0764845605700713
"MDW",680,0.0220588235294118,0.0426470588235294,0.0367589059120909,0.0612284542759154,0.0217161016949153,0.0451086956521739,678,0.0132743362831858,0.056047197640118,0.0257764489352077,0.0766459887861116,0.0138077535847053,0.0574931880108992
"MSP",1377,0.000726216412490922,0.0152505446623094,0.00467801373510797,0.0235419659954751,0.00165266492218703,0.0175854849965108,1377,0.00217864923747277,0.0305010893246187,0.00685302880869492,0.0413131402183953,0.00302988569067622,0.0322400558269365
"OAK",1932,0.0025879917184265,0.05175983436853,0.00634397092443582,0.0628407584429404,0.00318852132323635,0.0524144869215292,1927,0.00259470679813181,0.0513751946030099,0.00636038472011969,0.0624376168279629,0.00319648386774548,0.0520423600605144
"OGG",610,0.00491803278688525,0.0163934426229508,0.0153972145117014,0.0307168841253851,0.00642148277875073,0.0213213213213213,607,0.00494233937397035,0.0230642504118616,0.0154726676546766,0.0391072975733218,0.00644972148929933,0.0274509803921569
"ONT",904,0.0110619469026549,0.0497787610619469,0.0207954514149216,0.0664666641699405,0.0116421568627451,0.05125,904,0.0154867256637168,0.040929203539823,0.0263537468584883,0.0564083919478568,0.0157271241830065,0.0429166666666667
"ORD",2273,0.012758468983722,0.0655521337439507,0.0184714392431698,0.0767446366300713,0.0129460863640235,0.0657793044224989,2271,0.0154117129018054,0.104799647732277,0.0215675565160201,0.118375391055829,0.0155144488960873,0.104082509669102
"PHL",148,0.0135135135135135,0.0608108108108108,0.0522830100543666,0.114399497490185,0.0152329749103943,0.0647058823529412,148,0.00675675675675676,0.148648648648649,0.0423009607854849,0.217047524942002,0.010752688172043,0.12843137254902
"PHX",3422,0.00701344243132671,0.0306838106370544,0.0105543691602003,0.0371752873375276,0.00726295321971863,0.0313973548016101,3424,0.00292056074766355,0.0481892523364486,0.00551810566586813,0.0560700935167455,0.00325788751714678,0.0486206896551724
"PSP",284,0,0.0246478873239437,0.0167312121095415,0.0517552288385724,0.00389755011135857,0.0329411764705882,284,0.00704225352112676,0.0352112676056338,0.0276809899164502,0.0652164235525183,0.00946547884187082,0.0417647058823529
"SAN",1873,0.00213561131873999,0.0336358782701548,0.00580242045980122,0.0430702513691563,0.00277178934400986,0.0348367029548989,1873,0.00213561131873999,0.0304324612920448,0.00580242045980122,0.0394879708253268,0.00277178934400986,0.0317262830482115
"SEA",2131,0.010323791647114,0.0436414828718911,0.0158045587048495,0.053421524895488,0.0106064726679358,0.0444444444444444,2134,0.00890346766635427,0.0407685098406748,0.0140879462339816,0.0502671062346638,0.00923411189570885,0.0416438356164384
"SFO",4813,0.0124662372740494,0.0959900270101808,0.0161192319956735,0.104827459958447,0.0125608608485741,0.0957486136783734,4829,0.0124249326982812,0.0762062538827915,0.0160659379715425,0.0842062583915205,0.0125198809183965,0.0761924257932446
"SJC",2313,0.00302637267617812,0.0332900994379594,0.00646885440758188,0.0416360424815172,0.00351729335901516,0.0342760658505699,2302,0.000868809730668983,0.0395308427454387,0.00346770567368228,0.0485231460424011,0.00143025408043076,0.040373197625106
