"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",6913,0.0147548097786779,0.072761463908578,0.0179618570953635,0.0792645158517651,6899,0.0130453688940426,0.0700101463980287,0.0160879420606241,0.076411698307745
"AUS",329,0.0060790273556231,0.100303951367781,0.0239516618473889,0.138717990877102,329,0.0212765957446809,0.0820668693009119,0.0447998905194981,0.117990001291149
"BDL",109,0.018348623853211,0.073394495412844,0.0701642980716929,0.141931206298116,110,0,0.0272727272727273,0.0421360225982618,0.0822189753071966
"BNA",682,0.0278592375366569,0.093841642228739,0.0437664403976291,0.118726969921282,685,0.0277372262773723,0.0934306569343066,0.0435767757211708,0.118215211555512
"BOS",6170,0.0275526742301459,0.101134521880065,0.032047588132138,0.109076019816264,6174,0.028830579850988,0.0890832523485585,0.0334151878548173,0.0966074807758172
"BWI",282,0.0141843971631206,0.0957446808510638,0.0379276895356692,0.137096816870446,283,0.0106007067137809,0.0812720848056537,0.0328676268437195,0.120399087511498
"CLE",100,0.02,0.08,0.0761761798342662,0.153969296585393,100,0.01,0.05,0.0616708943128986,0.116445397892612
"CLT",3220,0.0152173913043478,0.0608695652173913,0.0202138453104117,0.0698711617432601,3528,0.01218820861678,0.0620748299319728,0.0165149113721153,0.0707211018035241
"CVG",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"DCA",246,0.0121951219512195,0.0731707317073171,0.0377087548969429,0.114316176943244,244,0.0245901639344262,0.069672131147541,0.0546970433432339,0.110391920926988
"DEN",2368,0.0139358108108108,0.0815033783783784,0.0197068046160778,0.0934889864825345,2360,0.0148305084745763,0.0728813559322034,0.0207571681957035,0.0843453268442838
"DFW",4154,0.0264805007221955,0.0970149253731343,0.0319574315664719,0.10659904418396,4156,0.0279114533205005,0.0996150144369586,0.0335132734256534,0.109302605094191
"DTW",2223,0.00989653621232569,0.0629779577147998,0.0151526809561477,0.0741178327002951,2214,0.00948509485094851,0.0794941282746161,0.0146716871520143,0.0917900077062236
"FLL",2031,0.0162481536189069,0.0817331363860167,0.0229631289934895,0.0947566968912735,2039,0.0181461500735655,0.0745463462481609,0.0251444969214591,0.0870609832113305
"IAH",2297,0.0169786678276012,0.086634740966478,0.0233340472033444,0.0991256632090853,2297,0.0187200696560731,0.0970831519373095,0.0253301041603365,0.110167545497574
"IND",317,0.028391167192429,0.100946372239748,0.0545750936232941,0.140271068518049,4,0,0,0.556186217847897,0.556186217847897
"JAX",394,0.0101522842639594,0.0431472081218274,0.0272912368679778,0.0691134803365009,393,0.0101781170483461,0.0305343511450382,0.0273597444542555,0.0537787982801998
"LAS",2205,0.0149659863945578,0.0893424036281179,0.0211580123653018,0.102269200972619,2206,0.0181323662737987,0.0707162284678151,0.0248134512244931,0.0824544304581439
"LAX",2222,0.0112511251125113,0.0742574257425743,0.0167695806168151,0.0861892599290766,2221,0.0126069338135975,0.0373705538045925,0.0183731911423745,0.0463296413448196
"LGA",635,0.0299212598425197,0.0755905511811024,0.0469691584017249,0.0994954228147275,584,0.0308219178082192,0.0770547945205479,0.04896401782859,0.102299170058969
"MCO",4919,0.0154502947753608,0.0874161414921732,0.0194034191826017,0.0958162647304082,4912,0.0193403908794788,0.0934446254071661,0.0236986197681607,0.10209089143526
"MDW",2079,0.0418470418470418,0.121212121212121,0.0515892837031732,0.136278541259833,2077,0.0404429465575349,0.123254694270583,0.0500528348288344,0.138427432850239
"MIA",2760,0.0144927536231884,0.0865942028985507,0.0198489968094116,0.0979247074616439,2761,0.0162984425932633,0.0872872147772546,0.0219147471971021,0.0986529599887881
"MSP",2457,0.00976800976800977,0.0704110704110704,0.0146867232063463,0.0814707355221245,2463,0.0121802679658952,0.0617133576938693,0.0175273987420051,0.0721654656542598
"MSY",310,0.0161290322580645,0.0645161290322581,0.0389560142334602,0.0988733646656164,310,0.0193548387096774,0.067741935483871,0.0432621894187427,0.102655083608996
"ORD",4403,0.0304337951396775,0.115830115830116,0.0360701386595547,0.125832736131696,4386,0.0305517555859553,0.113315093479252,0.0362094955301118,0.123248497961332
"PBI",1181,0.0194750211685013,0.0804403048264183,0.0294463733872888,0.0977842297364795,1187,0.02106149957877,0.0623420387531592,0.031296249074747,0.0779765967405892
"PDX",148,0.00675675675675676,0.148648648648649,0.0423009607854849,0.217047524942002,148,0.0135135135135135,0.0608108108108108,0.0522830100543666,0.114399497490185
"PHX",2648,0.0128398791540786,0.0675981873111783,0.01806873067004,0.0780440450426666,2688,0.0130208333333333,0.0632440476190476,0.0182324040510516,0.07332019866128
"PIT",1012,0.0138339920948617,0.0721343873517787,0.0235598010839817,0.0902253573783322,1063,0.0188146754468485,0.070555032925682,0.0293192298095939,0.0880082732810195
