"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",5675,0.0155066079295154,0.0766519823788546,0.0191623031382386,0.0840232936868275,0.0155472853118152,0.07663584016751,5676,0.0132135306553911,0.0671247357293869,0.0166250997327662,0.0740841760837947,0.0132841841702601,0.0672016748080949
"AS",2534,0.00276243093922652,0.026440410418311,0.00590597015534024,0.0336429713957693,0.00321937758699985,0.0274903474903475,2532,0.00157977883096367,0.0264612954186414,0.004295418269297,0.0336694325041234,0.00207118748082234,0.0275115919629057
"B6",720,0.0152777777777778,0.0708333333333333,0.0278260617864703,0.0925651326289605,0.0155935613682093,0.0711340206185567,721,0.0180305131761442,0.0748959778085992,0.0312626443993619,0.0970717146416539,0.0180859080633007,0.0749034749034749
"DL",7213,0.00429779564674893,0.0316095937889921,0.00616084633111249,0.0360044711229601,0.00444554210916276,0.0319438712340074,7213,0.0036046028004991,0.0335505337584916,0.00534328054595032,0.0380640631036671,0.00375950166021789,0.03386985830238
"EV",81,0.0246913580246914,0.0987654320987654,0.0929970381263037,0.187539826563059,0.0217669654289373,0.0890510948905109,81,0.0123456790123457,0.0246913580246914,0.0753226033315278,0.0929970381263037,0.0153649167733675,0.0452554744525547
"F9",2148,0.0074487895716946,0.095903165735568,0.0122907621213341,0.109393599379173,0.0078265563152213,0.0953720508166969,2144,0.00373134328358209,0.0844216417910448,0.0075930242936679,0.0972427108108166,0.00423576063446287,0.0841818181818182
"HA",365,0.00547945205479452,0.0301369863013699,0.0216213027333306,0.0544253083313855,0.00772376192639709,0.036104513064133,365,0.00547945205479452,0.0438356164383562,0.0216213027333306,0.0712079563999186,0.00772376192639709,0.0479809976247031
"NK",572,0.0297202797202797,0.141608391608392,0.0478694602117179,0.173362912787055,0.0284301606922126,0.135668789808917,571,0.0245183887915937,0.138353765323993,0.0415441919951885,0.169885342732134,0.0238316310739709,0.132695374800638
"OO",11484,0.0121908742598398,0.0593869731800766,0.0144224405939667,0.0639559286562929,0.0122326804623157,0.0594627383015598,11486,0.0129723141215393,0.0605955075744384,0.0152667003881807,0.0652053332434914,0.013009030204477,0.0606653959452435
"UA",6022,0.0107937562271671,0.0617734971770176,0.0138200203157912,0.0682805619373608,0.0108902447024864,0.0618953603158934,6028,0.0101194426011944,0.0836098208360982,0.0130622332949189,0.09102463447339,0.0102241447109713,0.0835305719921104
"US",55930,0.00636509923118183,0.0432504916860361,0.00707477527443189,0.045004005965193,0.00638155028461643,0.043282249133712,55929,0.0104596899640616,0.0423751542133777,0.0113564662843881,0.0441120374776786,0.0104706432731831,0.0424077878003037
"WN",57927,0.00754397776511817,0.0631829716712414,0.00829858927698349,0.0652352138124561,0.0075583339942278,0.063194384560992,57920,0.00911602209944751,0.0563881215469613,0.009941169923936,0.0583361088196645,0.00912834165586117,0.0564060990754795
