"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",3016,0.0109416445623342,0.0507294429708223,0.0154845681836435,0.0593550986700123,0.011128364389234,0.051171875
"ANC",412,0.0121359223300971,0.0315533980582524,0.0294394083962278,0.0543390234569234,0.013136288998358,0.0367521367521368
"ATL",3974,0.00528434826371414,0.0334675390035229,0.00818599655905053,0.0396782776379395,0.0055319569297639,0.0340446650124069
"AUS",1682,0.00297265160523187,0.05410225921522,0.00728381166315595,0.0662798406050721,0.00364215797860232,0.0547756041426928
"BNA",782,0.010230179028133,0.0728900255754476,0.0207178040629408,0.0938606498666295,0.010965935604293,0.0730310262529833
"BOI",1183,0.00253592561284869,0.043956043956044,0.00797195200185247,0.0575895068318026,0.00349705929105071,0.0453591606133979
"BOS",1560,0.0179487179487179,0.0628205128205128,0.0261182100859652,0.0763107755973693,0.0179794520547945,0.0632425742574257
"BUF",365,0.010958904109589,0.073972602739726,0.0294281494506592,0.106608255154063,0.012267151294866,0.0741092636579572
"BUR",2098,0.0133460438512869,0.0667302192564347,0.0194462410050234,0.0785031723204952,0.0135284373274434,0.0669452181987001
"BWI",1701,0.00823045267489712,0.0593768371546149,0.014054178806413,0.0719502245122873,0.00867019479788312,0.0598747865680137
"CLE",634,0.00157728706624606,0.0630914826498423,0.0101190400922306,0.0854664374810454,0.00338409475465313,0.0640579710144928
"CLT",3032,0.00494722955145119,0.0257255936675462,0.0083080011932739,0.0321644547842033,0.00527806385169928,0.026619170984456
"CMH",1158,0.00172711571675302,0.0561312607944732,0.00687875162077606,0.0713354026327119,0.00275705481673694,0.057001647446458
"CVG",123,0,0.032520325203252,0.0378430524907998,0.0848964997607452,0.0070635721493441,0.0458100558659218
"DAL",961,0.0135275754422477,0.077003121748179,0.0235083203085891,0.096098377669703,0.0138969310943833,0.0768928220255654
"DCA",1073,0.0149114631873253,0.059645852749301,0.0245256034883717,0.0758981936468648,0.0151541543285142,0.0604074402125775
"DEN",7936,0.0078125,0.0609879032258065,0.010067428955243,0.0665894371228905,0.0079139205112842,0.0610860860860861
"DFW",4643,0.018307129011415,0.0762438078828344,0.0226983662855336,0.0844118096732919,0.018312068161587,0.0762289848904022
"DSM",97,0,0.0515463917525773,0.0475275531796318,0.11984991506623,0.00813008130081301,0.0601307189542484
"DTW",2944,0.0030570652173913,0.038383152173913,0.00597722610217412,0.0461414922140088,0.00344462109167992,0.0390666666666667
"ELP",2278,0.00614574187884109,0.0632133450395083,0.0105047787437359,0.0742244759625938,0.00654428012918579,0.0634961439588689
"EWR",2410,0.016597510373444,0.0817427385892116,0.0227208912248369,0.0936311367077221,0.0166586190246258,0.0815896188158962
"FAT",687,0.00436681222707424,0.0407569141193595,0.0136844090269236,0.0589204297384742,0.00577276305431645,0.0433378196500673
"FLL",706,0.0056657223796034,0.0481586402266289,0.015321458667986,0.067171573648282,0.00691244239631337,0.0501312335958005
"GEG",951,0.00315457413249211,0.0420609884332282,0.00990619207231137,0.0572494868819526,0.00428766322354317,0.0438927507447865
"HNL",1227,0.0154849225753871,0.0619396903015485,0.0244408119987734,0.07725000544535,0.0156657963446475,0.0625097427903352
"HOU",1495,0.0127090301003344,0.0735785953177258,0.0200805377559314,0.0882988236101079,0.0129919755445166,0.0736299161831077
"IAD",365,0.00273972602739726,0.0136986301369863,0.0174796508480862,0.0331736365924439,0.00545206724216265,0.0218527315914489
"IAH",3552,0.00760135135135135,0.0503941441441441,0.0111716317344332,0.0582715177590742,0.00782973092192325,0.0507760532150776
"IND",1403,0.00498930862437634,0.0762651461154669,0.0106473201483599,0.091723882184914,0.00568258693005006,0.0762165867032214
"JFK",2378,0.0231286795626577,0.0803195962994113,0.0301922382041233,0.0922063340260101,0.0229903799119517,0.0801972062448644
"KOA",312,0.016025641025641,0.0544871794871795,0.0387106518657999,0.0868723086334155,0.0165289256198347,0.0576086956521739
"LAS",6033,0.00895077076081552,0.0588430300016576,0.0117437554436048,0.0652069790299338,0.00906977505648145,0.0589916242404336
"LAX",7994,0.00775581686264699,0.0610457843382537,0.00999448054726354,0.0666284431646562,0.00785703663312348,0.0611428571428571
"LGB",120,0.00833333333333333,0.0416666666666667,0.0517898434887936,0.0979030334804043,0.0122950819672131,0.0522727272727273
"LIH",349,0.00859598853868195,0.0573065902578797,0.0267432029700589,0.0880561153346159,0.0103724658180104,0.0597530864197531
"LIT",365,0.00547945205479452,0.0191780821917808,0.0216213027333306,0.0404508877503998,0.00772376192639709,0.026603325415677
"MCI",2120,0.00188679245283019,0.0481132075471698,0.00512808621915057,0.0583288475610611,0.00245991253644315,0.0488051470588235
"MCO",1395,0.0021505376344086,0.0372759856630824,0.0067649300473911,0.0488995737487892,0.0029927900965855,0.0387319090282564
"MDW",2456,0.0175081433224756,0.0586319218241042,0.0236963944905313,0.0688772357151091,0.0175410872313527,0.0589968152866242
"MIA",708,0.00706214689265537,0.0437853107344633,0.0172267229956929,0.0621063424056621,0.00817160367722166,0.0460732984293194
"MKE",1509,0.00662690523525514,0.0510271703114645,0.012492183633203,0.0636523977843093,0.00719606110339604,0.0518849840255591
