"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",1627,0.0221266133988937,0.0848186846957591,0.0307690738287664,0.0997093191603688,0.0219715662084361,0.0844919786096257,1626,0.0153751537515375,0.0910209102091021,0.022887039384079,0.106343948297894,0.0155184575593699,0.090487514863258
"B6",1505,0.0159468438538206,0.0724252491694352,0.0239296232098,0.0869990176942153,0.0160739146943425,0.0725176169122358,1506,0.0146082337317397,0.0624169986719788,0.0223309817995984,0.0761342866697067,0.0147988869213256,0.0628681177976953
"DL",3604,0.00499445061043285,0.037180910099889,0.00801536789065115,0.0440354770622075,0.00527288540987171,0.0377595628415301,3606,0.00388241819190238,0.0341098169717138,0.00664328304174197,0.0407119496908417,0.00418341845050527,0.0347351174221737
"EV",2131,0.0530267480056312,0.137963397465978,0.0636355908857,0.15359956108559,0.0518538663765751,0.136351165980796,2130,0.0305164319248826,0.116431924882629,0.0389464222900396,0.131074403409325,0.030110647560312,0.115370539798719
"F9",65,0.0153846153846154,0.0615384615384615,0.0925791045715895,0.154799086748304,0.0171184022824536,0.0677685950413223,63,0.0158730158730159,0.111111111111111,0.0953083426286757,0.217649083763023,0.0173661360347323,0.0941176470588235
"FL",709,0.00423131170662906,0.0409026798307475,0.0132628719023413,0.0587528217964176,0.00561081356796736,0.0433986928104575,709,0.00423131170662906,0.0282087447108604,0.0132628719023413,0.0438078152192288,0.00561081356796736,0.0316339869281046
"MQ",958,0.0501043841336117,0.125260960334029,0.0662886827069334,0.148277013427078,0.0478126209833527,0.122485207100592,957,0.0459770114942529,0.0950888192267503,0.0616399902877149,0.11584838998941,0.0439837240844798,0.0939782823297137
"OO",365,0.0191780821917808,0.104109589041096,0.0404508877503998,0.140769272247348,0.0190822353475693,0.100237529691211,365,0.0164383561643836,0.106849315068493,0.036843353173782,0.143831563281436,0.0168105406633348,0.102612826603325
"UA",2658,0.0135440180586907,0.0590669676448458,0.0188732211914657,0.0689159595448593,0.0136835943216742,0.0593957258658806,2659,0.00827378713802181,0.0710793531402783,0.0126750685388285,0.081723946094179,0.00855826201448321,0.0711602209944751
"US",4714,0.0099703012303776,0.041154009333899,0.0133376663744678,0.0473531641420186,0.0101060719953228,0.0415513626834382,4716,0.00784563189143342,0.047921967769296,0.0108979424459387,0.0545468049246136,0.00801469360494239,0.0482397317686505
"WN",8802,0.0122699386503067,0.0501022494887526,0.0148585911282391,0.0549650961044016,0.0123237056729599,0.0502596522917137,8799,0.0119331742243437,0.0785316513240141,0.0144907468713889,0.0844638114741662,0.0119898131662572,0.0785093167701863
