"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3573,0.00363839910439407,0.0358242373355723,0.00635440548955466,0.0426014246867638,0.00394715202017433,0.0364287682557178
"BNA",365,0.010958904109589,0.0657534246575342,0.0294281494506592,0.0971062233989397,0.012267151294866,0.0669833729216152
"BOS",1261,0.0174464710547185,0.0570975416336241,0.0266439279268285,0.0716947420686363,0.0175123484508307,0.0578587699316629
"BWI",1058,0.0132325141776938,0.0652173913043478,0.0225419092642699,0.082183828148478,0.0135898340981292,0.0657091561938959
"CLE",63,0.0158730158730159,0.111111111111111,0.0953083426286757,0.217649083763023,0.0173661360347323,0.0941176470588235
"CLT",2829,0.00671615411806292,0.0445387062566278,0.0106357639380367,0.0529863520172159,0.00702430962054955,0.0451299826689775
"CVG",9,0.111111111111111,0.222222222222222,0.464478315480846,0.563707782873183,0.0285035629453682,0.0953846153846154
"DCA",1,0,1,0.838178046004133,1,0.0183727034120735,0.0912280701754386
"DEN",1153,0.000867302688638335,0.0633130962705984,0.00558306624337323,0.0792996724579171,0.00195407914020518,0.0638544251447477
"DFW",1522,0.0164257555847569,0.0932982917214192,0.0244429602706953,0.109331306586322,0.0165289256198347,0.0926489226869455
"DTW",747,0.00267737617135207,0.0548862115127175,0.0106382600723635,0.0742128945913957,0.00413524689856483,0.0562889165628892
"EWR",402,0.0522388059701493,0.104477611940299,0.0795961015927368,0.139229101335613,0.046940486169321,0.100873362445415
"FLL",668,0.00449101796407186,0.0658682634730539,0.0140706361327648,0.0879347680675255,0.00592034445640474,0.0665745856353591
"HOU",361,0.00277008310249307,0.0581717451523546,0.0176707841318983,0.0884508028883275,0.00550206327372765,0.060431654676259
"IAD",524,0.0229007633587786,0.120229007633588,0.040498934941093,0.151703443200865,0.0223631508678238,0.115862068965517
"IAH",898,0.010022271714922,0.0779510022271715,0.0195040785657418,0.0978704668635208,0.0106863953966297,0.0777777777777778
"JFK",261,0.00383141762452107,0.0689655172413793,0.0243186327612862,0.107925025040284,0.00713860797144557,0.0700315457413249
"LAS",664,0.00150602409638554,0.0406626506024096,0.00966514100395463,0.0591825576955288,0.00324675324675325,0.0433333333333333
"LAX",316,0.00632911392405063,0.0537974683544304,0.0249216293214699,0.085796962780753,0.00869120654396728,0.056989247311828
"LGA",264,0.0757575757575758,0.204545454545455,0.115625199935672,0.258624719353187,0.0630896226415094,0.181875
"MCO",1634,0.0104039167686659,0.0905752753977968,0.0168907749149145,0.105828090246631,0.0107652703018956,0.0900591715976331
"MDW",1931,0.0290005178663905,0.0963231486276541,0.0377268904820275,0.110623477276102,0.0286113049546406,0.0957221942627076
"MIA",256,0.015625,0.0390625,0.0417004725602333,0.0721785884163852,0.016304347826087,0.0455128205128205
"MSP",557,0.0125673249551167,0.0628366247755835,0.0266518307764495,0.0869117687181907,0.0132869345143942,0.0639477977161501
"ORD",2017,0.0302429350520575,0.107585523054041,0.038904069002102,0.122190853022348,0.02982506452538,0.106705258080077
"PBI",5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934
"PHL",1012,0.0138339920948617,0.0721343873517787,0.0235598010839817,0.0902253573783322,0.0141648270787344,0.0722846441947566
"PHX",1084,0.0018450184501845,0.0433579335793358,0.00734617673543541,0.0576113151204144,0.00293305728088337,0.0449122807017544
"RSW",478,0.00418410041841004,0.0606694560669456,0.0165630039654147,0.0866628326397812,0.00614605929139552,0.0621722846441948
"SFO",297,0.00336700336700337,0.0505050505050505,0.0214179249852024,0.0830895700218962,0.00644814615797958,0.0543909348441926
"SLC",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"TPA",925,0.00864864864864865,0.0810810810810811,0.0175354398642757,0.100976197756912,0.00939812037592482,0.0807339449541284
