"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"DEN",1203,0.0166251039068994,0.0906068162926018,0.0259278758165278,0.108599045918204,1210,0.00661157024793388,0.100826446280992,0.0134254143664731,0.119524733507271
"DFW",802,0.0249376558603491,0.0773067331670823,0.038774093702888,0.0984511503272694,801,0.0199750312109863,0.0823970037453183,0.0327824578281636,0.104075132538729
"IAH",247,0.00809716599190283,0.117408906882591,0.03174501787222,0.165040726096047,253,0,0.0592885375494071,0.0187447473791007,0.0971549058265893
"JFK",32,0.03125,0.125,0.175461799732094,0.290892665416655,32,0,0.0625,0.131909363437364,0.215867671286896
"LAS",126,0.00793650793650794,0.0714285714285714,0.0494145993357469,0.133433925009465,126,0.0158730158730159,0.0952380952380952,0.0610613903067951,0.162068398183573
"LAX",1447,0.0165860400829302,0.0684174153420871,0.0248837066430331,0.0829687053786416,1441,0.0138792505204719,0.0458015267175573,0.0216672293766017,0.0582004771197221
"MSP",152,0.0131578947368421,0.0460526315789474,0.0509511854765551,0.095027897822852,152,0,0.0197368421052632,0.0308348570135704,0.0602556631303832
"ORD",376,0.0106382978723404,0.101063829787234,0.0285793406457778,0.136749633769269,377,0.00530503978779841,0.0610079575596817,0.0209421186935446,0.0909877949887869
"PDX",284,0.00704225352112676,0.0352112676056338,0.0276809899164502,0.0652164235525183,284,0,0.0246478873239437,0.0167312121095415,0.0517552288385724
"PHX",1960,0.0137755102040816,0.0581632653061224,0.0202090212404845,0.0697020614865308,1960,0.0122448979591837,0.0443877551020408,0.0183962891229034,0.0547023924795921
"SEA",884,0.00339366515837104,0.0282805429864253,0.0106526212939251,0.0419291600971766,884,0.00226244343891403,0.0260180995475113,0.00899885227792378,0.0392547627111351
"SFO",2415,0.0240165631469979,0.131262939958592,0.0311279862978644,0.145631494436899,2408,0.0199335548172757,0.105066445182724,0.0265318354039744,0.118242975072745
"SLC",834,0.0107913669064748,0.0431654676258993,0.0209899404774306,0.0597208272507687,834,0,0.0107913669064748,0.00575781610635338,0.0209899404774306
