"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",3814,0.00734137388568432,0.0440482433141059,0.0107153821061689,0.0512021090020142
"BOS",2258,0.0305580159433127,0.0943312666076174,0.0387204728808601,0.107381644144011
"CLT",1294,0.00695517774343122,0.0502318392581144,0.0135632378956745,0.0639003061150724
"CVG",50,0.02,0.08,0.117898178631865,0.196644484324389
"DFW",890,0.0224719101123595,0.0966292134831461,0.0349716872937468,0.11836057563438
"DTW",909,0.0132013201320132,0.0726072607260726,0.0234673804069557,0.0918580111227235
"EWR",1271,0.0479937057435091,0.136113296616837,0.0615508595087838,0.15652926724662
"FLL",352,0.0142045454545455,0.133522727272727,0.0343798346759026,0.17415973111097
"IAD",341,0.0205278592375367,0.117302052785924,0.0432499187407015,0.156947613364494
"IAH",640,0.021875,0.096875,0.0371117951380006,0.122956785081388
"LGA",1048,0.0858778625954199,0.187022900763359,0.104871980749705,0.212315751028319
"MCO",752,0.00531914893617021,0.074468085106383,0.0143908734983369,0.0960788482180081
"MIA",189,0.0105820105820106,0.0476190476190476,0.0412348818501183,0.0903701870949226
"MSP",354,0.019774011299435,0.104519774011299,0.0416874328215233,0.141871684481713
"ORD",2399,0.0533555648186744,0.131304710295957,0.0633283847374948,0.145725015572775
