"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",3812,0.00708289611752361,0.0527282266526758,0.0104112491010506,0.060463132796041,0.00730603004733484,0.0530506721820062
"BOS",2259,0.030987162461266,0.0956175298804781,0.0391950558395601,0.108736768100649,0.0305886385056979,0.0951187904967603
"CLT",1294,0.0154559505409583,0.0417310664605873,0.0241147867517362,0.0544223537825225,0.0156295647093193,0.0431111111111111
"CVG",43,0.0232558139534884,0.0697674418604651,0.13514302822097,0.196331257271307,0.0203045685279188,0.0727272727272727
"DFW",890,0.0314606741573034,0.108988764044944,0.0456030014146727,0.131728856307934,0.0304600082884376,0.106976744186047
"DTW",902,0.0188470066518847,0.0798226164079823,0.0304921652879226,0.0998753506024722,0.018829308227589,0.0795407098121086
"EWR",1271,0.044846577498033,0.121164437450826,0.0580412865023566,0.140707420158564,0.0433813697816075,0.119216277317257
"FLL",352,0.0142045454545455,0.0426136363636364,0.0343798346759026,0.0703564972187969,0.0149812734082397,0.0470588235294118
"IAD",303,0.0132013201320132,0.0462046204620462,0.0353448550547815,0.0774877575297695,0.0142781597038604,0.0506963788300836
"IAH",634,0.0252365930599369,0.110410094637224,0.0413240229725383,0.137906455068928,0.0245346869712352,0.107536231884058
"LGA",1063,0.0809031044214487,0.182502351834431,0.0993170949387307,0.207401991479565,0.0767879107362502,0.177122430741734
"MCO",750,0.00666666666666667,0.0373333333333333,0.0162690751579994,0.0540242870947113,0.00775569558894814,0.0399503722084367
"MIA",189,0.0158730158730159,0.0846560846560847,0.0487763036446139,0.135129076490753,0.0166540499621499,0.0824489795918367
"MSP",353,0.0169971671388102,0.0991501416430595,0.0380759468123906,0.135904365546188,0.017281644091546,0.0958435207823961
"ORD",2444,0.0572831423895254,0.14443535188216,0.0674555544442274,0.159249838573388,0.0561289298189902,0.14288
"STL",1,1,1,1,1,0.031496062992126,0.0912280701754386
