"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"DEN",1477,0.011509817197021,0.04062288422478,0.0186777152726692,0.0522720170877393
"DFW",790,0.0177215189873418,0.0746835443037975,0.0301246665669773,0.0957285615527341
"IAH",81,0.0246913580246914,0.0740740740740741,0.0929970381263037,0.157459674950704
"JFK",25,0,0.08,0.163074239892554,0.265996784949691
"LAS",3497,0.00886474120674864,0.053760366028024,0.0126920449993119,0.0619279062558608
"LAX",2257,0.0101905183872397,0.0726628267611874,0.0154553565033882,0.0843893106062629
"MDW",247,0.0121457489878543,0.0566801619433198,0.0375592378574956,0.0945849465317301
"MSP",30,0,0,0.139528745949416,0.139528745949416
"ORD",425,0.0164705882352941,0.0658823529411765,0.0348175509068015,0.0945559144187349
"PHX",1925,0.00935064935064935,0.0394805194805195,0.0149807069442613,0.0494052465031349
"SAN",724,0.00138121546961326,0.0359116022099447,0.00886944598169035,0.0527163330127135
"SFO",1917,0.0365153886280647,0.148148148148148,0.0461475758186339,0.165124337283996
"SLC",1162,0.00258175559380379,0.0189328743545611,0.00811538338405318,0.0288993122203346
