"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",1070,0.00747663551401869,0.0570093457943925,0.0151722928634211,0.0729998873480703,0.00820817324484806,0.0579040852575488,1071,0.00840336134453781,0.0373482726423903,0.0163713718703921,0.0508890769426297,0.00907346012912232,0.0392191659272405
"BWI",722,0.0166204986149584,0.0678670360110803,0.0294914743251575,0.0892177027392225,0.0168088309081786,0.0683804627249357,715,0.0181818181818182,0.0811188811188811,0.031522588941064,0.104077133871353,0.0182232346241458,0.080674448767834
"CLT",276,0.0072463768115942,0.0434782608695652,0.0284690206970564,0.0760494036125864,0.00968109339407745,0.0487951807228916,276,0.0072463768115942,0.0615942028985507,0.0284690206970564,0.0979172139102877,0.00968109339407745,0.063855421686747
"DTW",195,0.0102564102564103,0.0769230769230769,0.0399979644407087,0.125055900463019,0.0125832716506292,0.0764940239043825,197,0.0152284263959391,0.0913705583756345,0.046846577537988,0.141729484310132,0.0161645848640705,0.0877470355731225
"EWR",514,0.0583657587548638,0.118677042801556,0.0829318143855748,0.150343400152466,0.0532926001357773,0.114385964912281,662,0.0422960725075529,0.0936555891238671,0.0611184481713176,0.118936663295207,0.039880629408573,0.0922005571030641
"IAD",179,0.0279329608938547,0.0837988826815642,0.0666082637247175,0.135813422866447,0.025177025963808,0.0817021276595745,184,0.0271739130434783,0.157608695652174,0.0648513623687427,0.219021855627528,0.0246913580246914,0.138333333333333
"JFK",1278,0.0312989045383412,0.0907668231611894,0.0427046769160371,0.10819155945423,0.0305941472066213,0.0901049475262369,1277,0.028974158183242,0.100234925606891,0.0400455875717225,0.118357122764764,0.0283981659517823,0.0991747936984246
"LGA",271,0.0738007380073801,0.202952029520295,0.112719190921315,0.256160092258956,0.0618139803581745,0.181039755351682,268,0.0708955223880597,0.175373134328358,0.109574425107362,0.226751479218008,0.0594405594405594,0.158024691358025
"MCO",425,0.0117647058823529,0.0588235294117647,0.0285504762207815,0.0863868533787027,0.0127948820471811,0.0607068607068607,426,0.00469483568075117,0.0446009389671361,0.0185612834413693,0.0696245346646677,0.00678371907422187,0.0481327800829875
"MDW",681,0.0220264317180617,0.0646108663729809,0.0367054644309616,0.0862792552491634,0.0216873842898704,0.0654002713704206,688,0.0174418604651163,0.106104651162791,0.0309353030536605,0.132015874930539,0.0175576519916143,0.103763440860215
"MSP",111,0.00900900900900901,0.045045045045045,0.0558140790933671,0.105460249074833,0.0128893662728249,0.0550898203592814,111,0,0.108108108108108,0.0417715150548425,0.182722011726464,0.0075187969924812,0.0970059880239521
"ORD",1934,0.0434332988624612,0.118407445708376,0.0537311891617329,0.133915530356151,0.042504479394784,0.117185929648241,1780,0.0325842696629213,0.103370786516854,0.0421688288998106,0.118730557786716,0.0320181112548512,0.102505446623094
"TPA",313,0.00958466453674121,0.0543130990415335,0.0297688535081689,0.0866009535943907,0.0113343637300361,0.0574525745257453,312,0.00961538461538462,0.0737179487179487,0.0298627027166714,0.109481901661956,0.0113636363636364,0.0739130434782609
