"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",5486,0.0158585490339045,0.0658038643820634,0.0196201093491806,0.07282765323169,5484,0.0131291028446389,0.0816921954777535,0.0165977156358591,0.0894041158519368
"AS",5570,0.00341113105924596,0.0217235188509874,0.00540865989971438,0.0260019691120732,5570,0.00341113105924596,0.0271095152603232,0.00540865989971438,0.031825753061393
"B6",1366,0.0212298682284041,0.0863836017569546,0.0306633736813953,0.102866717658726,1366,0.0285505124450952,0.0666178623718887,0.0391336982228154,0.0814752962421594
"DL",6362,0.00534423137378183,0.0242062244577177,0.00753471907636674,0.0283807766164627,6364,0.00377121307353866,0.0336266499057197,0.00568109278772072,0.0384565110029223
"F9",1119,0.00268096514745308,0.0705987488829312,0.00842579614382959,0.087567852330734,1121,0.00356824264049955,0.0686886708296164,0.00967635384450915,0.0854585602749341
"HA",365,0,0.0273972602739726,0.0130643674688631,0.0509881258352571,365,0.00547945205479452,0.0219178082191781,0.0216213027333306,0.0440061466716371
"NK",926,0.0215982721382289,0.100431965442765,0.0336228079333245,0.122011972172622,927,0.0194174757281553,0.0938511326860841,0.0309856913738167,0.114869452794938
"OO",8787,0.0162740411972232,0.0615682257880961,0.0192109825464603,0.0669027922844983,8786,0.01377190985659,0.0569087184156613,0.0164989003943701,0.0620605602760847
"UA",8214,0.0105916727538349,0.0608716824933041,0.0131133505962487,0.0663690079711173,8212,0.00876765708718948,0.0694106186069167,0.0110914064900615,0.0752358730515871
"US",3448,0.0133410672853828,0.0342227378190255,0.0178910001960623,0.0409978941042767,3450,0.0121739130434783,0.0504347826086957,0.0165552195514373,0.0584389578038098
"VX",1723,0.00580383052814858,0.116076610562972,0.0109462021313995,0.132432694623922,1723,0.00638421358096344,0.0539756239117818,0.0116872672144011,0.0659813821374238
"WN",33847,0.0146246343841404,0.0676869441900316,0.0159894381391517,0.0704697064169542,33847,0.0141519189292995,0.0636984075398115,0.0154958693839395,0.0664056699428901
