"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ABQ",720,0.00277777777777778,0.0527777777777778,0.011034440568905,0.0722302807994711,0.00427565392354125,0.0543814432989691,724,0.00552486187845304,0.0552486187845304,0.0149433373827258,0.0749753275821715,0.00675675675675676,0.0566666666666667
"ATL",2240,0.00669642857142857,0.0254464285714286,0.011236593680472,0.0330476787101374,0.0070836212854181,0.0266550522648084,2242,0.00312221231043711,0.0356824264049955,0.0066731819063684,0.0444243500099066,0.00362506473329881,0.0366405570060923
"AUS",688,0.00145348837209302,0.0537790697674419,0.0093303245208326,0.0738915234213634,0.00314465408805031,0.0553763440860215,681,0.00440528634361234,0.052863436123348,0.0138040648141202,0.0729663965054236,0.0058185665167945,0.0545454545454545
"BNA",419,0.0119331742243437,0.0548926014319809,0.0289539878326945,0.0820330767608995,0.0129502225819506,0.0572631578947368,419,0.00715990453460621,0.035799522673031,0.0223300858638248,0.0592879622889246,0.00890327802509106,0.0404210526315789
"BOI",365,0.0136986301369863,0.063013698630137,0.0331736365924439,0.093916818189003,0.0145388459791004,0.0646080760095012,364,0.010989010989011,0.0467032967032967,0.0295078207174091,0.0747004447208775,0.0122950819672131,0.0504761904761905
"BOS",1045,0.0181818181818182,0.0641148325358852,0.0286682065967057,0.0810844331761114,0.0182110337439743,0.0646684831970935,1045,0.0258373205741627,0.0698564593301435,0.0377696961930891,0.087406908714738,0.0253526156043564,0.0701180744777475
"BWI",754,0.0119363395225464,0.0424403183023873,0.023199133571876,0.0598909716914252,0.0125422093584178,0.0446913580246914,764,0.00916230366492147,0.0484293193717278,0.0194853387307553,0.0666259577535039,0.0100095328884652,0.0502439024390244
"CLT",697,0.00717360114777618,0.0258249641319943,0.0174964572966732,0.0411066413341483,0.00828800828800829,0.0294820717131474,697,0.00860832137733142,0.0502152080344333,0.0194357815375544,0.0696720600886332,0.00958300958300959,0.052058432934927
"CVG",50,0,0,0.0884361975176823,0.0884361975176823,0.0111821086261981,0.039622641509434,50,0,0,0.0884361975176823,0.0884361975176823,0.0111821086261981,0.039622641509434
"DAL",482,0.004149377593361,0.0394190871369295,0.016426965194177,0.0616562805248691,0.00610193826274228,0.0431226765799256,482,0.004149377593361,0.045643153526971,0.016426965194177,0.0690390354460034,0.00610193826274228,0.0486988847583643
"DEN",4552,0.00746924428822496,0.054481546572935,0.0105251308087863,0.0616204835027409,0.00765041493775934,0.0547309027777778,4276,0.00561272217025257,0.0579981290926099,0.00845023749756167,0.0655806819443012,0.00583747012318441,0.0582179132040628
"DFW",3476,0.0186996547756041,0.0756616800920598,0.0239115942724765,0.0851418033060959,0.0186979049335436,0.0756511891279728,3474,0.0143926309729419,0.0846286701208981,0.0190667006918825,0.0945694425130618,0.014482136819565,0.0844759206798867
"DTW",764,0.00392670157068063,0.0143979057591623,0.012314524022262,0.0262367325567085,0.00524308865586273,0.0185365853658537,763,0.00524246395806029,0.0432503276539974,0.0141848504249031,0.0607027939009043,0.00644237652111668,0.0454212454212454
"EWR",1074,0.0167597765363128,0.058659217877095,0.0267726460835699,0.0747966875267702,0.0168813087365124,0.0594690265486726,1079,0.0166821130676552,0.072289156626506,0.0266493990158591,0.0897646966732901,0.0168081788251603,0.0724229074889868
"HNL",712,0.00280898876404494,0.0280898876404494,0.0111575574956623,0.0436251231832608,0.00431910569105691,0.0315104166666667,712,0.00421348314606742,0.0308988764044944,0.0132073932943171,0.0469725527037514,0.00558943089430894,0.0341145833333333
"HOU",733,0.00818553888130969,0.0422919508867667,0.0184885595923511,0.0600121579722667,0.00915614946795348,0.0446134347275032,729,0.00274348422496571,0.046639231824417,0.0108991419069943,0.0650772315978123,0.00422780402884855,0.0486624203821656
"IAD",1198,0.0108514190317195,0.0425709515859766,0.018883097520688,0.0559364374823956,0.0113100848256362,0.0440191387559809,1183,0.0101437024513948,0.0583262890955199,0.0180615443331337,0.0735808941168033,0.0106501351136544,0.0590799031476998
"IAH",1731,0.0098209127671866,0.0415944540727903,0.0159480876897824,0.0523537477171898,0.0101871332078397,0.042641298265249,2097,0.00953743443013829,0.0667620410109681,0.0149127025080632,0.0785403481309009,0.00985176318939324,0.0669763121226196
"JFK",1770,0.0203389830508475,0.0774011299435028,0.0282954161595072,0.0911144481678285,0.0202688055495339,0.0773274917853231,1770,0.0214689265536723,0.0813559322033898,0.0295973461400151,0.0953496675734163,0.0213526988944288,0.0811610076670318
"KOA",51,0,0,0.0868459085456425,0.0868459085456425,0.0110935023771791,0.0392523364485981,51,0,0,0.0868459085456425,0.0868459085456425,0.0110935023771791,0.0392523364485981
"LAS",4298,0.00953932061423918,0.0581665891112145,0.0130286305303669,0.0657380512722878,0.00969541754321778,0.0583830960036748,4306,0.0113794705062703,0.0640966093822573,0.0151271696617842,0.0719845220207317,0.0115036976170912,0.0642365887207703
"LAX",6903,0.0146313197160655,0.0560625814863103,0.01782914003872,0.0618675650373715,0.014674271302055,0.0562149734157206,6896,0.0130510440835267,0.0537993039443155,0.0160949287087845,0.0595025911105961,0.0131110856093642,0.053970080552359
"LIH",217,0,0.00921658986175115,0.0217900440033474,0.0360345502663326,0.00479123887748118,0.0227106227106227,218,0.00458715596330275,0.0412844036697248,0.029011783376868,0.0786793898855307,0.00818553888130969,0.0481751824817518
"MCI",510,0.00784313725490196,0.0803921568627451,0.0211484480274291,0.108082330312866,0.00922761449077239,0.0798586572438163,510,0.00392156862745098,0.0372549019607843,0.0155338626434177,0.0583190138450146,0.00580997949419002,0.0409893992932862
"MCO",622,0.00643086816720257,0.0530546623794212,0.0173729160076544,0.0742757683436162,0.00774526678141136,0.0548672566371681,622,0.00321543408360129,0.0401929260450161,0.0127591053788807,0.0593701589521661,0.00487664945496271,0.0430678466076696
"MDW",1280,0.01875,0.0484375,0.0281107942401159,0.0619907705428277,0.0187426210153483,0.0495508982035928,1293,0.0162412993039443,0.0672853828306264,0.0250626345773771,0.0826592905779892,0.0163718754568046,0.0676056338028169
"MIA",402,0.00746268656716418,0.0248756218905473,0.0232623469509599,0.0463671134062089,0.00922045264040235,0.0310043668122271,402,0.00497512437810945,0.0248756218905473,0.019655780277964,0.0463671134062089,0.00712489522212909,0.0310043668122271
"MKE",12,0,0.166666666666667,0.290359456941537,0.46650635094611,0.0160550458715596,0.0911764705882353,12,0,0,0.290359456941537,0.290359456941537,0.0160550458715596,0.0617647058823529
"MSP",1140,0.00087719298245614,0.0201754385964912,0.00564646550889747,0.0304983659987839,0.00197498354180382,0.022742474916388,1143,0.000874890638670166,0.0306211723534558,0.00563170744349665,0.042691977734023,0.00197011984895748,0.0326939115929942
"MSY",365,0.00273972602739726,0.0383561643835616,0.0174796508480862,0.0645654098577451,0.00545206724216265,0.0432304038004751,365,0.00273972602739726,0.0356164383561644,0.0174796508480862,0.0612110975375311,0.00545206724216265,0.040855106888361
"OAK",3906,0.0273937532002048,0.0727086533538146,0.0331425854062899,0.0814738041003814,0.0272279714658897,0.0727410398788491,3886,0.0270200720535255,0.0687081832218219,0.0327510663758302,0.0772873910007762,0.0268605473088963,0.0687975646879756
"OGG",429,0.00466200466200466,0.0116550116550117,0.0184329824065154,0.0282876590843123,0.00674335581118604,0.0189690721649485,429,0.00466200466200466,0.027972027972028,0.0184329824065154,0.0493333565491535,0.00674335581118604,0.0334020618556701
"ORD",2702,0.0133234641006662,0.0636565507031828,0.0185668720968029,0.0737322706153082,0.0134668010946277,0.063886874546773,2706,0.00997782705099778,0.0894308943089431,0.0146540765277393,0.10103373030074,0.0102114195311376,0.0891383055756698
"PDX",1873,0.00213561131873999,0.0304324612920448,0.00580242045980122,0.0394879708253268,0.00277178934400986,0.0317262830482115,1873,0.00213561131873999,0.0336358782701548,0.00580242045980122,0.0430702513691563,0.00277178934400986,0.0348367029548989
"PHL",833,0.0252100840336134,0.0480192076830732,0.0387801194272531,0.0652713234250412,0.0246641708874697,0.049718785151856,833,0.0348139255702281,0.099639855942377,0.0500924368545273,0.122434593913675,0.0334728033472803,0.0980877390326209
"PHX",5639,0.0127682213158361,0.051250221670509,0.0161423836394313,0.0574563373105693,0.0128451926778902,0.0514837576821773,5625,0.00728888888888889,0.0460444444444444,0.00995997311497028,0.051972466879787,0.00743833549700011,0.0463298715014962
