"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",2801,0.00678329168154231,0.0396287040342735,0.0107418106531717,0.0477103928656895,0.00709269174605382,0.040322016100805
"BWI",1239,0.0161420500403551,0.0742534301856336,0.0251789579211986,0.0906219713982271,0.0162836706741744,0.0742857142857143
"CLT",8,0,0,0.381832408122634,0.381832408122634,0.0168269230769231,0.065625
"DEN",759,0.0144927536231884,0.0856389986824769,0.026408135281205,0.108303312002882,0.0148645408774874,0.0849079754601227
"DFW",732,0.0191256830601093,0.0983606557377049,0.0324898990227574,0.122713092115844,0.0190782953419227,0.0967005076142132
"DTW",10,0,0,0.329901048773708,0.329901048773708,0.0164319248826291,0.0636363636363636
"EWR",741,0.0593792172739541,0.147098515519568,0.0793814943640302,0.175084948246523,0.0556236216613575,0.142032622333752
"IAD",186,0.021505376344086,0.10752688172043,0.056952666657449,0.162215934258269,0.0206738131699847,0.1
"IAH",912,0.00767543859649123,0.0537280701754386,0.0163432873982334,0.0708292035756935,0.00850891410048622,0.0549586776859504
"LAS",374,0.00802139037433155,0.10427807486631,0.0249800525777169,0.140454498773497,0.00979519145146928,0.10046511627907
"LGA",727,0.0907840440165062,0.25171939477304,0.114509729743489,0.285239462039305,0.0840189478932935,0.239080459770115
"MCO",395,0.00506329113924051,0.0886075949367089,0.0199997477951686,0.121773781315863,0.00723096554657592,0.0869179600886918
"MDW",1279,0.0218921032056294,0.0946051602814699,0.031820437484946,0.112307911772211,0.0217102348249889,0.0937827715355805
"MIA",128,0,0.0234375,0.0364160444020375,0.0711107482654405,0.00688976377952756,0.0391304347826087
"MSP",81,0.0246913580246914,0.0740740740740741,0.0929970381263037,0.157459674950704,0.0217669654289373,0.0744525547445255
"ORD",1783,0.0493550196298374,0.129556926528323,0.0607105211545511,0.146317253940564,0.0481110752340975,0.1278955954323
"PHX",365,0,0.0164383561643836,0.0130643674688631,0.036843353173782,0.00318037255792821,0.0242280285035629
"TPA",405,0.00246913580246914,0.0740740740740741,0.0157735298370139,0.104797323305883,0.00499791753436068,0.0741865509761388
