"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",365,0.0246575342465753,0.150684931506849,0.0475166178389031,0.192099027980956,0.0236256247160382,0.14061757719715
"ANC",177,0.0225988700564972,0.146892655367232,0.0597629647760902,0.208453360383896,0.021411578112609,0.129613733905579
"ATL",3762,0.00425305688463583,0.0534290271132376,0.00702734437880683,0.0612631362276928,0.00453455644740957,0.0537454164484023
"AUS",2335,0.00685224839400428,0.102355460385439,0.0113093495794371,0.115607240751649,0.00721931789892955,0.101714763697198
"BOI",1688,0.0290284360189573,0.1510663507109,0.0384550555954653,0.169342319308109,0.0285843920145191,0.148623853211009
"BOS",4212,0.0332383665716999,0.101851851851852,0.0392381297171388,0.111561084521246,0.0329818996081358,0.101499531396439
"BUR",1803,0.0488075429839157,0.158069883527454,0.0600415756306226,0.17602389630833,0.0475987647747844,0.155567509413663
"BWI",323,0.0185758513931889,0.043343653250774,0.0415511583328065,0.0727884611840013,0.0185836263184329,0.0480211081794195
"CLE",564,0.0106382978723404,0.0656028368794326,0.023973373204217,0.0898830591136778,0.0115769712140175,0.0664516129032258
"CLT",1981,0.00454316002019182,0.0691569914184755,0.00887397721233276,0.0814806474473827,0.00505787374768991,0.0693176239567992
"COS",186,0.032258064516129,0.333333333333333,0.0712446414600802,0.405418532298607,0.0283307810107198,0.273553719008264
"CVG",271,0,0.025830258302583,0.0175204478783458,0.0541854598394158,0.00404390525707683,0.0342507645259939
"DAL",881,0.00454029511918275,0.127128263337117,0.0122964345001806,0.151334924069476,0.00564735411001883,0.12401280683031
"DCA",725,0.00827586206896552,0.063448275862069,0.018690987164984,0.0842146248112414,0.00924768807798051,0.0642765685019206
"DEN",6025,0.00896265560165975,0.111203319502075,0.0117593231170685,0.119567287887273,0.00908166945346054,0.110869922710081
"DFW",5418,0.0182724252491694,0.118678479143595,0.0223001962396558,0.127753018794162,0.0182771426490934,0.11823164048228
"DTW",1424,0.000702247191011236,0.0582865168539326,0.0045241323107929,0.0720461397881066,0.0016008537886873,0.0589189189189189
"EWR",5464,0.0181185944363104,0.0982796486090776,0.0221128847330885,0.106635857159389,0.0181253610629694,0.0980434782608696
"FAT",1652,0.0399515738498789,0.14043583535109,0.0508153747664273,0.158424090159548,0.0390226956924502,0.138290398126464
"FLL",1411,0.0134656272147413,0.0744153082919915,0.0212698849532478,0.0896753244496298,0.0137262817924909,0.0744376278118609
"HNL",2139,0.0149602618045816,0.0500233754090697,0.0212641261356978,0.0603558819332922,0.0150844548821245,0.0506605922551253
"IAD",3992,0.0142785571142285,0.0889278557114229,0.0185806955573788,0.0983637097354831,0.0143587726199843,0.0887351778656126
"IAH",3769,0.0106128946670204,0.102149111170072,0.0145478764060005,0.112449574615459,0.0107694708912127,0.101751633986928
"IND",350,0.0114285714285714,0.0342857142857143,0.0306702974149941,0.0602651043108238,0.0126999059266228,0.0399014778325123
"JFK",9274,0.0168212206167781,0.085723528143196,0.0197159552823118,0.091720501406279,0.0168356650836435,0.0856591639871383
"KOA",744,0.0174731182795699,0.0752688172043011,0.0303046879520073,0.0970977331386794,0.017578125,0.07525
"LAS",8142,0.00970277573077868,0.111888970768853,0.0121421906022434,0.119070044515148,0.00978435476804751,0.111636984630398
"LAX",13456,0.0280172413793103,0.12782401902497,0.0310091948372419,0.133692679057611,0.0279649994087738,0.127605091770278
"LGB",1094,0.0155393053016453,0.111517367458867,0.0251749012005792,0.132036274695193,0.0157372562435854,0.109739130434783
"LIH",432,0.0347222222222222,0.0856481481481482,0.0575317650663704,0.116785091422669,0.0323343848580442,0.0844262295081967
"MCI",774,0.0193798449612403,0.0917312661498708,0.0323337018966542,0.114738531445684,0.0193122939236929,0.0906024096385542
"MCO",858,0.00815850815850816,0.0780885780885781,0.0173649597520889,0.0985318625946976,0.00900128589798543,0.0778993435448578
