"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ABQ",366,0.0136612021857923,0.112021857923497,0.0330843482589586,0.149538557930853,365,0.0246575342465753,0.150684931506849,0.0475166178389031,0.192099027980956
"ANC",173,0,0.132947976878613,0.0271887113724072,0.193598387573973,177,0.0225988700564972,0.146892655367232,0.0597629647760902,0.208453360383896
"ATL",3758,0.00612027674294838,0.0393826503459287,0.00929471494077759,0.0462524175553806,3762,0.00425305688463583,0.0534290271132376,0.00702734437880683,0.0612631362276928
"AUS",2312,0.0129757785467128,0.073961937716263,0.018668081303371,0.0856236315761644,2335,0.00685224839400428,0.102355460385439,0.0113093495794371,0.115607240751649
"BOI",1687,0.030823947836396,0.126852400711322,0.0404851390894306,0.143969513897632,1688,0.0290284360189573,0.1510663507109,0.0384550555954653,0.169342319308109
"BOS",4228,0.021286660359508,0.0849101229895932,0.0262225108603521,0.0938901540897863,4212,0.0332383665716999,0.101851851851852,0.0392381297171388,0.111561084521246
"BUR",1800,0.0472222222222222,0.127222222222222,0.0583145101013487,0.143783012400669,1803,0.0488075429839157,0.158069883527454,0.0600415756306226,0.17602389630833
"BWI",324,0.00925925925925926,0.0617283950617284,0.0287741422280835,0.0946974708552117,323,0.0185758513931889,0.043343653250774,0.0415511583328065,0.0727884611840013
"CLE",563,0.0159857904085258,0.0674955595026643,0.030985168876452,0.0920542757928336,564,0.0106382978723404,0.0656028368794326,0.023973373204217,0.0898830591136778
"CLT",1980,0.00353535353535354,0.0151515151515152,0.00755361676435483,0.0217853316610715,1981,0.00454316002019182,0.0691569914184755,0.00887397721233276,0.0814806474473827
"COS",186,0.032258064516129,0.139784946236559,0.0712446414600802,0.198800741329218,186,0.032258064516129,0.333333333333333,0.0712446414600802,0.405418532298607
"CVG",271,0,0.03690036900369,0.0175204478783458,0.0682740233259774,271,0,0.025830258302583,0.0175204478783458,0.0541854598394158
"DAL",882,0.00453514739229025,0.0816326530612245,0.0122825771331273,0.102111183481272,881,0.00454029511918275,0.127128263337117,0.0122964345001806,0.151334924069476
"DCA",725,0.00551724137931034,0.0537931034482759,0.0149228771224204,0.0733071558402414,725,0.00827586206896552,0.063448275862069,0.018690987164984,0.0842146248112414
"DEN",5629,0.0092378752886836,0.0904245869603837,0.012182908520938,0.0983687598752688,6025,0.00896265560165975,0.111203319502075,0.0117593231170685,0.119567287887273
"DFW",5415,0.0204986149584488,0.0976915974145891,0.0247347219292637,0.106065819995381,5418,0.0182724252491694,0.118678479143595,0.0223001962396558,0.127753018794162
"DTW",1423,0.00351370344342937,0.0252986647926915,0.00860442060905781,0.0351531649618935,1424,0.000702247191011236,0.0582865168539326,0.0045241323107929,0.0720461397881066
"EWR",5433,0.0185900975519971,0.0749125713233941,0.0226420085488125,0.082379330293683,5464,0.0181185944363104,0.0982796486090776,0.0221128847330885,0.106635857159389
"FAT",1294,0.0486862442040185,0.160741885625966,0.0621845888809016,0.182230243891482,1652,0.0399515738498789,0.14043583535109,0.0508153747664273,0.158424090159548
"FLL",1413,0.00707714083510262,0.0700636942675159,0.0133371946233353,0.0849471997413616,1411,0.0134656272147413,0.0744153082919915,0.0212698849532478,0.0896753244496298
"HNL",2145,0.0116550116550117,0.0843822843822844,0.0173693876766421,0.0971977215123687,2139,0.0149602618045816,0.0500233754090697,0.0212641261356978,0.0603558819332922
"IAD",3769,0.0127354736004245,0.0657999469355267,0.0169753821698127,0.0743591717811594,3992,0.0142785571142285,0.0889278557114229,0.0185806955573788,0.0983637097354831
"IAH",3791,0.0152993932999209,0.0757056185702981,0.0198600736729028,0.0847641025981772,3769,0.0106128946670204,0.102149111170072,0.0145478764060005,0.112449574615459
"IND",350,0.00571428571428571,0.0914285714285714,0.0225348500793502,0.127366481226304,350,0.0114285714285714,0.0342857142857143,0.0306702974149941,0.0602651043108238
"JFK",9276,0.0157395429064252,0.0809616213885295,0.0185491649970984,0.0868112047508888,9274,0.0168212206167781,0.085723528143196,0.0197159552823118,0.091720501406279
"KOA",744,0.00537634408602151,0.0833333333333333,0.0145445075021371,0.106016316130277,744,0.0174731182795699,0.0752688172043011,0.0303046879520073,0.0970977331386794
"LAS",8462,0.00803592531316474,0.0764594658473174,0.0102366972374711,0.0824426036165882,8142,0.00970277573077868,0.111888970768853,0.0121421906022434,0.119070044515148
"LAX",13575,0.0265193370165746,0.106593001841621,0.029423517962791,0.112007876363282,13456,0.0280172413793103,0.12782401902497,0.0310091948372419,0.133692679057611
"LGB",1093,0.0137236962488564,0.0622140896614822,0.0229553936098067,0.0785693023753031,1094,0.0155393053016453,0.111517367458867,0.0251749012005792,0.132036274695193
"LIH",432,0.0208333333333333,0.0740740740740741,0.0402500888249941,0.103665065048051,432,0.0347222222222222,0.0856481481481482,0.0575317650663704,0.116785091422669
"MCI",784,0.0216836734693878,0.107142857142857,0.0350406805083092,0.131352676500168,774,0.0193798449612403,0.0917312661498708,0.0323337018966542,0.114738531445684
"MCO",857,0.00816802800466744,0.0688448074679113,0.0173850856394387,0.0883356514032616,858,0.00815850815850816,0.0780885780885781,0.0173649597520889,0.0985318625946976
"MDW",853,0.022274325908558,0.101992966002345,0.0350667014101475,0.124692401081496,850,0.0152941176470588,0.112941176470588,0.0265546120474414,0.136567185044561
"MIA",1116,0.0125448028673835,0.0654121863799283,0.0213773674913853,0.0819022610687139,1116,0.00627240143369176,0.0922939068100358,0.013371289492901,0.111169297334935
"MKE",418,0.00717703349282297,0.129186602870813,0.0223828514540629,0.165730456055971,418,0.00239234449760766,0.100478468899522,0.0152885461991276,0.134018594334921
"MSN",2,0,0,0.718233512793084,0.718233512793084,1,0,0,0.838178046004133,0.838178046004133
"MSP",2452,0.00815660685154975,0.0456769983686786,0.0127600659127579,0.0549074392188732,2447,0.0044953003677973,0.0731507968941561,0.00823825109533616,0.0844123543256838
"MSY",315,0.00317460317460317,0.0761904761904762,0.0202124584896173,0.11214298744446,308,0.00649350649350649,0.0779220779220779,0.0255585777580523,0.114627817341617
"OGG",1231,0.016246953696182,0.0861088545897644,0.0253416211339073,0.10352633286362,1232,0.0251623376623377,0.0762987012987013,0.0358695092338365,0.0928960608993274
"OKC",363,0.00550964187327824,0.107438016528926,0.0217388063021276,0.144604179304148,364,0.0137362637362637,0.0412087912087912,0.0332634081562229,0.0680801349369547
"OMA",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"ONT",2142,0.042483660130719,0.124183006535948,0.0521270975642624,0.139156022548858,2142,0.0434173669467787,0.149859943977591,0.0531487557064302,0.165950189753799
"ORD",7872,0.0172764227642276,0.0900660569105691,0.020478407646432,0.0967324931496922,7726,0.0147553714729485,0.119466735697644,0.0177721117299042,0.127046866024779
"PDX",4829,0.0124249326982812,0.0762062538827915,0.0160659379715425,0.0842062583915205,4813,0.0124662372740494,0.0959900270101808,0.0161192319956735,0.104827459958447
"PHL",2459,0.010980073200488,0.0569337128914193,0.0161212892981467,0.0670465019156599,2443,0.0229226361031519,0.106426524764634,0.0298528610076039,0.119571188127263
