"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",298,0.00671140939597315,0.0402684563758389,0.0264020583860031,0.0705556365406556,0.00911039657020364,0.0457627118644068
"AUS",656,0.00152439024390244,0.0533536585365854,0.009782151045435,0.0739690964304166,0.00328227571115974,0.0550561797752809
"BOS",220,0.0590909090909091,0.122727272727273,0.100366614053004,0.1743258355169,0.0487804878048781,0.11304347826087
"BUR",2335,0.0274089935760171,0.0526766595289079,0.035065070100363,0.0627426167419067,0.0271346776201145,0.0531994981179423
"DAL",84,0,0.119047619047619,0.0545011497917969,0.20952864136209,0.00879396984924623,0.101428571428571
"DEN",2362,0.00846740050804403,0.0660457239627434,0.0132447659884595,0.0770438310823778,0.00878056786476284,0.0662531017369727
"DFW",1632,0.0208333333333333,0.0882352941176471,0.0292587018547797,0.103338985917536,0.0207357075913777,0.0877962085308057
"HNL",606,0.00495049504950495,0.0478547854785479,0.0154979833048919,0.0686047336570333,0.00645918966529654,0.0501510574018127
"IAH",527,0.00759013282732448,0.0512333965844402,0.0204731130027769,0.0743353963558802,0.00896712055795417,0.053516295025729
"JFK",318,0.0566037735849057,0.135220125786164,0.0890125679053696,0.178396465405084,0.0493387589013225,0.12620320855615
"KOA",190,0,0.0473684210526316,0.0248134527445909,0.0899095331367561,0.0052790346907994,0.0536585365853659
"LAS",3072,0.00618489583333333,0.0589192708333333,0.00979642794059103,0.068022872002897,0.00648195221148958,0.0592071611253197
"LAX",7421,0.0141490365179895,0.0667026007276647,0.0171769095907482,0.0727365538009417,0.0141938582214989,0.0667647452186706
"LIH",208,0.00480769230769231,0.0144230769230769,0.0303750194941319,0.0444296407023302,0.00847457627118644,0.0272727272727273
"MDW",365,0.010958904109589,0.0547945205479452,0.0294281494506592,0.0842734116344872,0.012267151294866,0.0574821852731591
"MSP",509,0.00196463654223969,0.0275049115913556,0.0125808144467424,0.046538509617389,0.00410818212940774,0.032212389380531
"OGG",730,0.00136986301369863,0.0328767123287671,0.00879702335155478,0.049067835621775,0.0029806259314456,0.0358778625954198
"ONT",1440,0.0111111111111111,0.0520833333333333,0.0183048680228103,0.0651493087349509,0.0114836325237592,0.0529411764705882
"ORD",689,0.00870827285921625,0.0870827285921626,0.019659607610718,0.111150152851816,0.00968332897147344,0.0861744966442953
"PDX",2313,0.00302637267617812,0.0332900994379594,0.00646885440758188,0.0416360424815172,0.00351729335901516,0.0342760658505699
"PHX",3387,0.00649542367877177,0.0451727192205492,0.00995671618717615,0.0528823556056915,0.00675870833574028,0.0456578565204763
"SAN",3304,0.0108958837772397,0.0575060532687651,0.0151928086377573,0.0661718713546487,0.0110677083333333,0.057797619047619
"SEA",4606,0.00217108119843682,0.037559704732957,0.00410394363782263,0.0435901254776551,0.0024352730069213,0.038009438009438
"SLC",1982,0.00403632694248234,0.0211907164480323,0.00821178870977271,0.0287606826920578,0.00456931751895781,0.0226692836113837
"SNA",2940,0.0105442176870748,0.0394557823129252,0.0150898612946224,0.0473117227175113,0.0107455558503582,0.0401201602136182
