"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ATL",1711,0.0075978959672706,0.0303915838690824,0.0132431590712658,0.0399205291378629,0.00806180718844474,0.0318053197509904,1709,0.00234055002925688,0.0315974253949678,0.00635749697064591,0.0412842722559949,0.0030265665284161,0.0329745042492918
"BDL",470,0.0148936170212766,0.0808510638297872,0.0315248206486537,0.109923272754222,0.0154071900220103,0.0802281368821293,469,0.00852878464818763,0.0767590618336887,0.0229763394670145,0.105334507850926,0.00992282249173098,0.0765714285714286
"BOS",1150,0.0182608695652174,0.0895652173913044,0.0281590968912267,0.107919689577364,0.0182827293503101,0.0888888888888889,1089,0.0211202938475666,0.0853994490358127,0.0319167194137521,0.103958988756149,0.020958598179007,0.0848908296943231
"BWI",656,0.00609756097560976,0.0426829268292683,0.0164797887217359,0.0616705924548335,0.00738512035010941,0.0452247191011236,656,0,0.0777439024390244,0.00730930057210094,0.101459654543576,0.00191466083150985,0.0775280898876405
"CLE",41,0,0.0975609756097561,0.105885752158008,0.234682260008812,0.0120481927710843,0.0845360824742268,41,0,0.024390243902439,0.105885752158008,0.141036446803029,0.0120481927710843,0.0536082474226804
"CLT",723,0.004149377593361,0.0525587828492393,0.0130078826508828,0.0719342595348281,0.00551240290653972,0.0541720154043646,723,0.00691562932226833,0.0608575380359613,0.0168720303901802,0.0813321934541315,0.0080180405913305,0.0618741976893453
"DCA",365,0.010958904109589,0.0794520547945206,0.0294281494506592,0.112892998375292,0.012267151294866,0.0788598574821853,365,0.010958904109589,0.0410958904109589,0.0294281494506592,0.0678970682095982,0.012267151294866,0.0456057007125891
"DFW",610,0.00655737704918033,0.0344262295081967,0.0177117008790543,0.0527855048720039,0.00788091068301226,0.0378378378378378,610,0.00491803278688525,0.101639344262295,0.0153972145117014,0.128897690544439,0.00642148277875073,0.0993993993993994
"DTW",26,0.0384615384615385,0.115384615384615,0.209544511501033,0.302749430154621,0.0237154150197628,0.0878048780487805,26,0,0.0384615384615385,0.157750673475196,0.209544511501033,0.0138339920948617,0.0634146341463415
"EWR",1174,0.0153321976149915,0.0800681431005111,0.0245059586299978,0.0974367369109699,0.0155299391610631,0.0798373983739838,1175,0.00936170212765958,0.0612765957446808,0.0171087671637851,0.0768922614208595,0.00991841305391137,0.0619008935824533
"FLL",2787,0.00932902762827413,0.0513096519555077,0.0138050110252185,0.0603544436577605,0.00957305569142617,0.0517762926486106,2786,0.00681981335247667,0.0628140703517588,0.0107994959620096,0.0726703996297146,0.00712987557668111,0.0630541871921182
"HOU",23,0.0434782608695652,0.0869565217391304,0.232073567544848,0.284882697331985,0.0244399185336049,0.0784810126582278,23,0,0,0.174876121102188,0.174876121102188,0.0142566191446029,0.0531645569620253
"IAD",164,0.00609756097560976,0.0731707317073171,0.038291861973976,0.12598052630993,0.0100334448160535,0.0736363636363636,164,0,0.0487804878048781,0.0286401240579654,0.0960323622150504,0.00585284280936455,0.0554545454545455
"IAH",463,0.0129589632829374,0.0691144708423326,0.0291395979305195,0.0968508755665214,0.0137495354886659,0.0697495183044316,465,0.00860215053763441,0.043010752688172,0.023171731043421,0.0664353293823469,0.00999629766753055,0.0464491362763916
"JAX",64,0,0.015625,0.0703900321187786,0.0939239071643072,0.0100574712643678,0.0433333333333333,64,0,0.03125,0.0703900321187786,0.115890735302667,0.0100574712643678,0.0516666666666667
"JFK",4813,0.0178682734261375,0.0741741117805942,0.0221277762409139,0.082095734544533,0.0178797921525306,0.0741836105976587,4811,0.0147578466015381,0.0827270837663687,0.0186828613716223,0.0910285580283051,0.0148172403913061,0.0826381754674337
"MCO",3596,0.00472747497219132,0.0528364849833148,0.00769298948681103,0.0608232442428234,0.00501198518195685,0.0531763417305586,3599,0.00388996943595443,0.0555709919422062,0.00665618019999662,0.0637293986213929,0.00419138860160035,0.0558686730506156
"MIA",2479,0.00322710770471964,0.0475998386446148,0.00656939458640696,0.0569363402228757,0.00368021298253856,0.0482051282051282,2478,0.00121065375302663,0.0484261501210654,0.00381451616246673,0.0578327794092363,0.00172332758890804,0.0490134175217048
"MSP",44,0,0.0227272727272727,0.0993515546035977,0.132377124296868,0.011744966442953,0.052,44,0.0227272727272727,0.0227272727272727,0.132377124296868,0.132377124296868,0.0201342281879195,0.052
"ORD",1103,0.0108794197642792,0.0779691749773345,0.0193639062705883,0.0957547442184955,0.0113732812765235,0.077825711820535,1103,0.0099728014505893,0.0634632819582956,0.0182191832814436,0.0798639534555374,0.0105245289424546,0.0640207075064711
"PHL",1074,0.00651769087523277,0.0651769087523277,0.0138913739533114,0.0819981770356007,0.00730943264879916,0.0656637168141593,1074,0.00279329608938547,0.0912476722532588,0.0087771359258308,0.11043579167608,0.00382875043508528,0.0904424778761062
"TPA",1196,0.00668896321070234,0.0652173913043478,0.0135817898965809,0.0810683126631286,0.00739458779106356,0.0656549520766773,1197,0.0050125313283208,0.0568086883876358,0.0113555223059731,0.0718053577921615,0.0058166954881308,0.0576217079010375
