"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",2056,0.0252918287937743,0.0880350194552529,0.0332538978054892,0.101371755748332,0.0250563063063063,0.0876893939393939,2057,0.0184735051045211,0.0938259601361206,0.0254855710359909,0.107508219421009,0.0184785667385799,0.0933270231897776
"AS",2448,0.00285947712418301,0.0298202614379085,0.00611296021936563,0.0375422338175967,0.0033291058972733,0.0308306709265176,2446,0.00204415372035977,0.0302534750613246,0.00501385221446905,0.038025728874728,0.00253847374266222,0.0312549960031974
"B6",1445,0.00899653979238754,0.0532871972318339,0.0156699581754387,0.0664492821817318,0.00947243783712669,0.0540972684876749,1444,0.00692520775623269,0.0588642659279778,0.0130520963260704,0.072572970808183,0.00750394944707741,0.0594666666666667
"DL",33805,0.00260316521224671,0.0274515604200562,0.00322246724418099,0.0292864943709569,0.00263870933465564,0.0275301969817785,33797,0.00218954345060212,0.0284640648578276,0.00276370471803448,0.0303306055677595,0.00222601425357668,0.0285410451067852
"EV",444,0.018018018018018,0.0968468468468468,0.0362802910909508,0.128849921747991,0.0181047765793529,0.0944,445,0.00449438202247191,0.0898876404494382,0.0177776008195332,0.12102535418195,0.0065359477124183,0.0882235528942116
"F9",1737,0.00460564191134139,0.0875071963154865,0.00936609166706443,0.102065617275852,0.00518706544531509,0.0871165644171779,1747,0.00400686891814539,0.0950200343445907,0.00855771580507927,0.110021712762486,0.00460981231478433,0.0943982251802551
"MQ",80,0.075,0.0875,0.1592945437271,0.174636513037362,0.047680412371134,0.0823529411764706,80,0.0625,0.1,0.143645572037979,0.189716290441031,0.0412371134020619,0.0897058823529412
"OO",29565,0.0076103500761035,0.049923896499239,0.00869211506820804,0.0525193021410886,0.00763827504537756,0.0499713041423315,29560,0.00815290933694181,0.0528416779431664,0.0092696699202263,0.0555058282783993,0.00817946226109491,0.0528835764451648
"UA",1002,0.00499001996007984,0.0568862275449102,0.0121998615157529,0.0734642154028411,0.00594132937244708,0.0578449905482042,1002,0.00598802395209581,0.063872255489022,0.0135529988985633,0.0812187348491157,0.00686966208689194,0.064461247637051
"US",2464,0.0117694805194805,0.0344967532467532,0.0170443161558713,0.0426754484469414,0.0119722747321991,0.0353968253968254,2464,0.00689935064935065,0.0491071428571429,0.0112172511703013,0.058598573667484,0.0072463768115942,0.0496825396825397
"WN",9764,0.00604260548955346,0.0514133551823023,0.00783903039356168,0.0560735255381061,0.00613871046426539,0.0515478615071283,9764,0.0043015157722245,0.0637034002458009,0.00585960134466823,0.0688306590051418,0.00441092771770063,0.0637678207739308
