"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ABQ",1031,0.000969932104752667,0.0242483026188167,0.00624065462293181,0.0359959973789484,1031,0.00387972841901067,0.020368574199806,0.0105166752710497,0.0313859809307717
"ANC",101,0,0.0396039603960396,0.0457272401316962,0.102447140981262,100,0,0.03,0.0461644104379188,0.0900318130203899
"ATL",2732,0.00512445095168375,0.0296486090775988,0.00876336764920136,0.0368941382437982,2732,0.00402635431918009,0.027086383601757,0.00738082986568768,0.0340613045605398
"AUS",724,0.0069060773480663,0.037292817679558,0.0168489028245118,0.0543319102974561,721,0.00554785020804438,0.0221914008321775,0.0150050561800551,0.0363852204165579
"BDL",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"BNA",373,0.0134048257372654,0.0482573726541555,0.0324725386971281,0.0761373751947105,373,0.0107238605898123,0.0536193029490617,0.0288059395458582,0.0825013426484831
"BOI",1544,0.00194300518134715,0.0233160621761658,0.00611428144166597,0.0324138016438002,1540,0.00194805194805195,0.0175324675324675,0.00613010941086729,0.0256921657570836
"BOS",623,0.0160513643659711,0.0449438202247191,0.0300822716813802,0.0648950093111385,622,0.0160771704180064,0.0466237942122186,0.0301301556019688,0.0668631119335975
"BUR",926,0.00431965442764579,0.0118790496760259,0.0117023126391536,0.0216779838712639,926,0.00431965442764579,0.0183585313174946,0.0117023126391536,0.0297078339431514
"BWI",1067,0.0056232427366448,0.0365510777881912,0.0127317341497877,0.0500081533480224,1067,0.00374882849109653,0.0459231490159325,0.010163620523396,0.0606336517728696
"CHS",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"CLT",687,0.00436681222707424,0.0276564774381368,0.0136844090269236,0.0434512431673094,689,0.00145137880986938,0.0435413642960813,0.00931687651847473,0.0621203610599609
"CMH",1,0,0,0.838178046004133,0.838178046004133,1,0,0,0.838178046004133,0.838178046004133
"COS",688,0.00726744186046512,0.0232558139534884,0.017723513316986,0.0381130007751276,688,0.00726744186046512,0.0479651162790698,0.017723513316986,0.0672385166522549
"CVG",580,0,0.0224137931034483,0.00825955440740815,0.038777127184945,579,0,0.0259067357512953,0.00827370746532038,0.0430962161393138
"DCA",690,0.00869565217391304,0.0260869565217391,0.019631347832975,0.0415193800514342,689,0.0058055152394775,0.0551523947750363,0.015696573850281,0.0754381406486876
