"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",1031,0.000969932104752667,0.0242483026188167,0.00624065462293181,0.0359959973789484
"ANC",101,0,0.0396039603960396,0.0457272401316962,0.102447140981262
"ATL",2732,0.00512445095168375,0.0296486090775988,0.00876336764920136,0.0368941382437982
"AUS",724,0.0069060773480663,0.037292817679558,0.0168489028245118,0.0543319102974561
"BDL",1,0,0,0.838178046004133,0.838178046004133
"BNA",373,0.0134048257372654,0.0482573726541555,0.0324725386971281,0.0761373751947105
"BOI",1544,0.00194300518134715,0.0233160621761658,0.00611428144166597,0.0324138016438002
"BOS",623,0.0160513643659711,0.0449438202247191,0.0300822716813802,0.0648950093111385
"BUR",926,0.00431965442764579,0.0118790496760259,0.0117023126391536,0.0216779838712639
"BWI",1067,0.0056232427366448,0.0365510777881912,0.0127317341497877,0.0500081533480224
"CHS",1,0,0,0.838178046004133,0.838178046004133
"CLT",687,0.00436681222707424,0.0276564774381368,0.0136844090269236,0.0434512431673094
"CMH",1,0,0,0.838178046004133,0.838178046004133
"COS",688,0.00726744186046512,0.0232558139534884,0.017723513316986,0.0381130007751276
"CVG",580,0,0.0224137931034483,0.00825955440740815,0.038777127184945
"DCA",690,0.00869565217391304,0.0260869565217391,0.019631347832975,0.0415193800514342
"DEN",7474,0.00668985817500669,0.0582017661225582,0.00887563166065922,0.063863209373552
"DFW",3179,0.019817552689525,0.0698332809059453,0.0254348184174476,0.0794410263584206
"DSM",13,0,0,0.273932038624723,0.273932038624723
"DTW",1473,0,0.0183299389002037,0.00326778029445678,0.0268544827352136
"EWR",329,0.0121580547112462,0.0577507598784195,0.0325965282813523,0.0897040671879602
"FAT",943,0,0.0233297985153765,0.00509550034072934,0.0355575569733362
"FLL",1,0,0,0.838178046004133,0.838178046004133
"GEG",1361,0.00293901542983101,0.0352681851579721,0.0079767037653886,0.0467990518461718
"HNL",356,0.0140449438202247,0.050561797752809,0.0339994580994216,0.0797007496488987
"HOU",9,0,0,0.353982657103997,0.353982657103997
"IAD",1,0,0,0.838178046004133,0.838178046004133
"IAH",2113,0.00851869380028396,0.0539517274017984,0.0136523013225198,0.0646869109535749
"IND",173,0.00578034682080925,0.023121387283237,0.0363537817125199,0.0611029947756431
"JFK",2010,0.0119402985074627,0.0686567164179104,0.0179404164485718,0.08084757315987
"LAS",4008,0.00274451097804391,0.0411676646706587,0.00503474827488961,0.0479317207098653
"LAX",6049,0.00479418085633989,0.0504215572821954,0.00695638150036425,0.0563592607437981
"LGB",2201,0.00636074511585643,0.0336210813266697,0.0108711665359769,0.0422369540289664
"MCI",669,0.00149476831091181,0.0164424514200299,0.00959342067070634,0.02992736452249
"MCO",1086,0.00184162062615101,0.0395948434622468,0.00733270991250956,0.0533362795651813
"MDW",807,0.023543990086741,0.0557620817843866,0.0370477337940031,0.0743626055136351
"MEM",131,0.00763358778625954,0.0458015267175573,0.0475955211430422,0.0999013645748437
"MIA",103,0.00970873786407767,0.0679611650485437,0.0599550859514193,0.137776839130908
"MSN",265,0.00754716981132075,0.0264150943396226,0.0296288060838418,0.0553857783161997
"MSP",2049,0.00195217179111762,0.0161054172767204,0.00530531684627889,0.0227622344642701
"MSY",355,0.0028169014084507,0.0309859154929577,0.0179654520553433,0.0559312967600567
"OAK",2353,0.00169995750106247,0.0382490437739057,0.00462144254117632,0.0470111206859916
"OKC",697,0.00573888091822095,0.0315638450502152,0.0155177870966905,0.047972571838176
"OMA",591,0.00169204737732657,0.0338409475465313,0.0108493404201626,0.0524466738384835
"ONT",1040,0.00192307692307692,0.0269230769230769,0.00765548832449772,0.039076544426232
"ORD",2759,0.0163102573396158,0.110547299746285,0.0219305794138548,0.123068656478093
"ORF",1,0,0,0.838178046004133,0.838178046004133
"PDX",2494,0.00160384923817161,0.0272654370489174,0.00436072556694677,0.0346265341299119
"PHL",704,0.0241477272727273,0.0596590909090909,0.0389830879628753,0.0802932929596609
"PHX",6162,0.00421940928270042,0.0352158390133074,0.00625347859605528,0.0402314201295069
"PIT",1,0,0,0.838178046004133,0.838178046004133
"PSP",834,0,0.0107913669064748,0.00575781610635338,0.0209899404774306
"RDU",133,0.0075187969924812,0.0300751879699248,0.0469048434641535,0.0787627850433047
"RNO",1162,0.00258175559380379,0.0206540447504303,0.00811538338405318,0.0309465675486096
"SAN",2457,0.00244200244200244,0.0215710215710216,0.00554557186745571,0.0283078904965259
"SAT",788,0.00126903553299492,0.032994923857868,0.0081534527676163,0.04847758662113
"SEA",3449,0.0020295737895042,0.0316033632937083,0.0043417826848156,0.0381493954146407
"SFO",3167,0.0142090306283549,0.104515314177455,0.0191136286859905,0.115902588049635
"SJC",1982,0.00403632694248234,0.0211907164480323,0.00821178870977271,0.0287606826920578
"SMF",1503,0.00199600798403194,0.0266134397870925,0.0062804982434143,0.036350091068566
"SNA",1711,0.00292226767971946,0.0227936879018118,0.0071607536998645,0.0312841077968655
"STL",526,0.00190114068441065,0.00950570342205323,0.0121778936620506,0.0231253633732807
"TPA",1,0,0,0.838178046004133,0.838178046004133
"TUL",333,0,0.012012012012012,0.0143027349447161,0.0322111944512431
"TUS",1034,0.000967117988394584,0.0135396518375242,0.00622263204789258,0.023061756761894
"XNA",1,0,0,0.838178046004133,0.838178046004133
