"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1070,0.011214953271028,0.0401869158878505,0.0199575240688466,0.0541269370160345,0.0117010129235068,0.0419182948490231
"AUS",3,0,0.333333333333333,0.627208174095541,0.802659240404558,0.0179028132992327,0.088135593220339
"DAL",316,0.00632911392405063,0.0316455696202532,0.0249216293214699,0.058740806834958,0.00869120654396728,0.0381720430107527
"DEN",3793,0.00632744529396256,0.0506195623517005,0.00952411468455143,0.0582396112623639,0.00656636161522155,0.0509742790335152
"DFW",3298,0.0233474833232262,0.0682231655548817,0.0292436257955824,0.0775526442851586,0.0232420253764971,0.0683363148479427
"EWR",871,0.0275545350172216,0.0619977037887486,0.0411947231253205,0.0805483188615296,0.0268442189811879,0.0627831715210356
"HOU",420,0.00714285714285714,0.05,0.0222775684648415,0.0762450112095282,0.00888529886914378,0.0529411764705882
"IAH",1603,0.01621958827199,0.0536494073611978,0.023951712612363,0.0661112213717319,0.0163270170420689,0.0543701024713683
"LAS",2592,0.00771604938271605,0.0393518518518519,0.0120728034130257,0.0477593806182745,0.00802339532093581,0.0401057401812689
"MDW",3,0,0,0.627208174095541,0.627208174095541,0.0179028132992327,0.0711864406779661
"MSP",1008,0.00198412698412698,0.0158730158730159,0.00789731920433079,0.0260963249166589,0.00313884785819793,0.018984962406015
"OAK",2695,0.00667903525046382,0.037847866419295,0.0107117714275881,0.0459426672734646,0.00700310446899141,0.0386041439476554
"ORD",2274,0.0175901495162709,0.06948109058927,0.0240743804346773,0.080945395795497,0.0176230206027584,0.0696137339055794
"PDX",1005,0.00398009950248756,0.0398009950248756,0.0107873061657244,0.0542010415418658,0.00499907424551009,0.0416588124410933
"PHX",4214,0.00616990982439487,0.0327479829140959,0.00913888587309009,0.0387075113704842,0.00638813764804626,0.0333021077283372
"SEA",2551,0.0066640533124265,0.0196001568012544,0.0108357428130971,0.0259392127218867,0.0070063209199604,0.0207901802838512
"SFO",4678,0.0312099187687046,0.133604104318085,0.0367243495773702,0.143871460513591,0.0310106875368173,0.132910857625687
"SJC",2940,0.0105442176870748,0.0394557823129252,0.0150898612946224,0.0473117227175113,0.0107455558503582,0.0401201602136182
"SLC",1711,0.00350672121566335,0.0233781414377557,0.00795547813291998,0.0319543939298784,0.00414287313850633,0.0250141482739106
"SMF",2324,0.00688468158347676,0.0425989672977625,0.0113627207025017,0.0518294261398889,0.00725241747249083,0.0433613445378151
