"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",5519,0.0197499547019388,0.0753759739083167,0.0238744323030959,0.0828014309526385,0.019734725251153,0.075372197309417,5521,0.0199239268248506,0.086397391776852,0.0240634169738215,0.0942681761146533,0.0199063650334155,0.0862829478214094
"AS",382,0,0.0340314136125654,0.0124898706659179,0.0585336033256306,0.00306211723534558,0.0392694063926941,382,0.00261780104712042,0.0287958115183246,0.016711434773041,0.0520430882714448,0.005249343832021,0.034703196347032
"DL",5216,0.00306748466257669,0.0371932515337423,0.00507100362932595,0.0428102107615048,0.00328847898397339,0.0375948406676783,5215,0.00210930009587728,0.0316395014381592,0.00387087869102422,0.0368708225140532,0.00234395675021738,0.0321001707455891
"EV",3445,0.0423802612481858,0.113497822931785,0.0498124939628036,0.124766965611133,0.041872620873814,0.112882033704656,3446,0.0327916424840395,0.0911201392919327,0.0394455422817139,0.101416077621099,0.032488924230376,0.090862364363221
"F9",1003,0.00498504486540379,0.0568295114656032,0.0121877646778369,0.073391719728206,0.0059358189575218,0.0577903682719547,1005,0.00597014925373134,0.0925373134328358,0.0135127691125519,0.112540357579857,0.00685058322532864,0.0916116870876532
"FL",395,0.010126582278481,0.0253164556962025,0.0272230714961845,0.0471760009592896,0.0114844746916206,0.0314855875831486,395,0.00506329113924051,0.0253164556962025,0.0199997477951686,0.0471760009592896,0.00723096554657592,0.0314855875831486
"MQ",2358,0.0729431721798134,0.172179813401187,0.0844163837879976,0.188291134505904,0.0712641788591156,0.169925434962718,2356,0.0598471986417657,0.147283531409168,0.0704155126935301,0.162495747521496,0.058571898650872,0.145605306799337
"OO",1283,0.0124707716289945,0.0872954014029618,0.0205328164757859,0.104418396039996,0.0128110734796054,0.0867811799850635,1284,0.00389408099688474,0.0872274143302181,0.00953191300376467,0.104337923000744,0.00470865214832254,0.0867164179104478
"UA",233,0.0214592274678112,0.210300429184549,0.0515306851051434,0.268578535403462,0.0207657365347177,0.184083044982699,233,0.0128755364806867,0.158798283261803,0.0397667090932618,0.212726488305048,0.0142764438676184,0.142560553633218
"US",2109,0.00948316737790422,0.0459933617828355,0.0148281440433543,0.056047315125783,0.00979763757897628,0.046743648960739,2107,0.00664451827242525,0.0317987660180351,0.0113546304830148,0.0404260930073197,0.00705709834112364,0.03291724456773
"WN",30069,0.0136020486215039,0.0693405168113339,0.0150057609462606,0.0723286683397106,0.0136145593513843,0.0693510373443983,30068,0.0126380204868964,0.0630570706398829,0.0139944324362253,0.0659197124336829,0.0126529366490618,0.0630792723409906
