"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"ATL",3911,0.00690360521605727,0.0416773203784198,0.010148241471046,0.0485678844568422,3910,0.00383631713554987,0.0335038363171355,0.00644565241123101,0.039772574117659
"AUS",7,0,0,0.414400781478848,0.414400781478848,7,0,0.142857142857143,0.414400781478848,0.54129052577309
"BNA",706,0.0155807365439093,0.075070821529745,0.0283729301763008,0.0975300337516991,704,0.0113636363636364,0.0511363636363636,0.0229939711055317,0.0706121565701506
"BOS",747,0.0214190093708166,0.0829986613119143,0.0351304618559845,0.105596622612456,733,0.0286493860845839,0.08731241473397,0.0440173818139455,0.110588182114658
"BWI",1340,0.0186567164179104,0.0701492537313433,0.0277435924528572,0.0854784962940972,1351,0.0229459659511473,0.0814211695040711,0.0327294158414019,0.0976179990058883
"CLE",430,0.013953488372093,0.0837209302325581,0.0313467162246218,0.114692914014217,464,0.0172413793103448,0.0603448275862069,0.0347363684299605,0.0867468640358902
"CLT",962,0.00727650727650728,0.0498960498960499,0.015498948532857,0.0660158133059612,962,0.0051975051975052,0.0395010395010395,0.0127042398060876,0.054228214935773
"CMH",650,0.00307692307692308,0.0692307692307692,0.0122136832151065,0.0920633634237179,652,0.00613496932515337,0.0598159509202454,0.0165800673048528,0.0814018243409104
"CVG",166,0.00602409638554217,0.0301204819277108,0.0378435291840001,0.0716553808891713,167,0,0.029940119760479,0.0281394033115003,0.0712401481767305
"DAL",2585,0.0150870406189555,0.0796905222437137,0.0207433149714414,0.0910241309691514,2592,0.00887345679012346,0.0621141975308642,0.0134636874079099,0.0723111174364513
"DCA",1439,0.0312717164697707,0.093815149409312,0.0419169542483221,0.110374521905496,1441,0.0333102012491325,0.0922970159611381,0.044218206237344,0.108737564520569
"DEN",2237,0.0116227089852481,0.0585605721949039,0.0171872749493896,0.0693307526557131,2284,0.00525394045534151,0.0617338003502627,0.00937953884907165,0.072621098056739
"DFW",2833,0.0261207200847158,0.0797740910695376,0.0328517696581172,0.0905746970943601,2835,0.0246913580246914,0.0825396825396825,0.0312624111269316,0.0934906112415503
"DTW",1440,0.00277777777777778,0.0611111111111111,0.00754071395822514,0.0750504635146134,1465,0.00750853242320819,0.051877133105802,0.0137366399670094,0.0647979460927504
"EWR",2116,0.0510396975425331,0.130907372400756,0.0615211015478936,0.146288139572537,2145,0.048951048951049,0.126806526806527,0.0591747543640593,0.141890848425552
"FLL",519,0.00770712909441233,0.0578034682080925,0.0207854631030968,0.0821455610797445,519,0.00385356454720617,0.0616570327552987,0.0152670636197882,0.086570681905752
"GRR",357,0.00560224089635854,0.100840336134454,0.0220991069413566,0.137567600525459,357,0.0112044817927171,0.030812324929972,0.0300778314730594,0.0556234689847502
"HOU",1331,0.0150262960180316,0.0826446280991736,0.0234481012603875,0.0990701882935134,1334,0.00824587706146927,0.0652173913043478,0.0150792119050038,0.0801417361018734
"IAD",245,0.0163265306122449,0.0897959183673469,0.0435325129375132,0.133790386781028,94,0,0.074468085106383,0.0489736413152557,0.150182204362069
