"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1676,0.00715990453460621,0.0536992840095465,0.0127690887285198,0.0658634960837821
"CLE",1,0,0,0.838178046004133,0.838178046004133
"DAL",1186,0.00674536256323777,0.0657672849915683,0.0136957357104608,0.0817451997899022
"DEN",1879,0.0138371474188398,0.0867482703565726,0.0204482349917328,0.100658038382532
"DFW",2861,0.0216707444949318,0.106256553652569,0.0278604824153152,0.118347162378632
"DTW",355,0.0028169014084507,0.0957746478873239,0.0179654520553433,0.131984506199715
"EWR",136,0.0588235294117647,0.227941176470588,0.114960671444289,0.307458486321023
"HOU",990,0.0111111111111111,0.0676767676767677,0.0202855052898313,0.0855394981334867
"IAD",171,0.0116959064327485,0.152046783625731,0.0454515512058856,0.215425625842204
"IAH",2373,0.0139064475347661,0.0611040876527602,0.019665429340034,0.0717235774232343
"LAS",365,0.00547945205479452,0.0767123287671233,0.0216213027333306,0.109755310666501
"MDW",365,0.0246575342465753,0.104109589041096,0.0475166178389031,0.140769272247348
"MIA",52,0,0.0576923076923077,0.0853117910592438,0.165496781868825
"MSP",292,0,0.0376712328767123,0.0162799169996585,0.0677397726830658
"ORD",2500,0.04,0.1136,0.0486355156380396,0.126930084059479
"PHX",644,0.0062111801242236,0.0885093167701863,0.0167843306781522,0.113651604914112
"SLC",333,0,0.012012012012012,0.0143027349447161,0.0322111944512431
"STL",468,0.00427350427350427,0.0576923076923077,0.01691316691794,0.0835470696058951
