"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",673,0.00445765230312036,0.0386329866270431,0.0139668992839096,0.0566644659122071
"DEN",2084,0.0105566218809981,0.0897312859884837,0.0161597155722049,0.103075448415751
"DFW",2428,0.0238879736408567,0.102553542009885,0.0309620225323298,0.11554536659897
"HOU",5,0,0,0.499382028649922,0.499382028649922
"IAH",1424,0.0168539325842697,0.0730337078651685,0.0252834546618218,0.088103840572025
"LAS",1351,0.00222057735011103,0.0540340488527017,0.0069844111850856,0.06777441695348
"LAX",2954,0.00507786052809749,0.0792146242383209,0.00852686987752404,0.089747616582447
"MDW",523,0.011472275334608,0.0592734225621415,0.0258325498665958,0.0837259849795915
"MSP",210,0.00476190476190476,0.0238095238095238,0.0300922188319248,0.0570291580577921
"ORD",658,0.0121580547112462,0.0957446808510638,0.0245870166243434,0.121317908889164
"PDX",341,0.0175953079178886,0.0557184750733138,0.0393938633260929,0.0866140085458349
"PHX",957,0.0188087774294671,0.0512016718913271,0.0300215504761264,0.0675324630225333
"SAN",997,0.00300902708124373,0.0561685055165497,0.00945150130052331,0.0727109774174805
"SEA",394,0.0050761421319797,0.0228426395939086,0.0200498712018066,0.0440727180841147
"SFO",723,0.0221300138312586,0.13969571230982,0.0362855271542442,0.16754472568604
"SLC",1034,0.000967117988394584,0.0135396518375242,0.00622263204789258,0.023061756761894
