"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1733,0.0103866128101558,0.0415464512406232,0.0166336385639572,0.0522937156272762,0.0107289016701692,0.042593627724986
"BTR",1,1,1,1,1,0.031496062992126,0.0912280701754386
"DEN",502,0.0239043824701195,0.111553784860558,0.0422511156113379,0.142948678006232,0.0232155232155232,0.107885304659498
"DFW",1765,0.0419263456090652,0.161473087818697,0.0526042674599386,0.179769415880968,0.0409738071948701,0.158813838550247
"DTW",46,0,0.152173913043478,0.0954256258422041,0.288664621657649,0.0115511551155116,0.109803921568627
"EWR",321,0.0498442367601246,0.205607476635514,0.0807598691720998,0.254356679159851,0.0439172135285209,0.186206896551724
"IAD",496,0.0221774193548387,0.127016129032258,0.0402334816541843,0.160079893616833,0.0217086834733894,0.121739130434783
"IAH",875,0.016,0.0742857142857143,0.0272205410776296,0.0941233544147391,0.0162071142917281,0.074328678839957
"LGA",228,0.114035087719298,0.232456140350877,0.163464861958987,0.292911612535112,0.0903693931398417,0.201408450704225
"MDW",28,0,0.0357142857142857,0.148081649610182,0.196803952799007,0.0135658914728682,0.0619047619047619
"ORD",2457,0.0427350427350427,0.132682132682133,0.051699886420429,0.146981500655255,0.0420187978832636,0.131396736967768
