"DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",1713,0.0099241097489784,0.0513718622300058,0.0161149848259606,0.0631739671599023,0.0102896767699362,0.052119841718485
"DEN",503,0.0159045725646123,0.073558648111332,0.0320746989210456,0.100591715976331,0.0162573503977862,0.0737030411449016
"DFW",1764,0.0493197278911565,0.162698412698413,0.0607392136577939,0.181050476258275,0.048064375815572,0.16
"DTW",66,0.0151515151515152,0.0757575757575758,0.0912722574765999,0.171713716560064,0.0169971671388102,0.0754098360655738
"EWR",329,0.033434650455927,0.0972644376899696,0.0602670992466875,0.135286863402491,0.0306778822365166,0.094025974025974
"IAD",488,0.0204918032786885,0.100409836065574,0.0382991694759073,0.131142965936082,0.0202414772727273,0.0977941176470588
"IAH",879,0.0261660978384528,0.10580204778157,0.0394761276368069,0.128442944605058,0.0255711590861455,0.103957219251337
"LGA",228,0.118421052631579,0.293859649122807,0.168425520861228,0.35743660899174,0.0936675461741425,0.250704225352113
"MDW",28,0,0.0714285714285714,0.148081649610182,0.241926793336686,0.0135658914728682,0.0738095238095238
"ORD",2453,0.0460660415817366,0.138605788830004,0.0553275000336172,0.15316073290991,0.0452495846847559,0.137186129932244
