"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ANC","DEN","F9",81,0,0.0493827160493827,0.056411216886697,0.126151886693287,0.0089628681177977,0.0598540145985401
"ATL","AUS","F9",111,0.00900900900900901,0.18018018018018,0.0558140790933671,0.264660416738096,0.0128893662728249,0.144910179640719
"ATL","CLE","F9",292,0.0136986301369863,0.160958904109589,0.0366522752351125,0.208746031617061,0.0147058823529412,0.147126436781609
"ATL","CVG","F9",62,0.0161290322580645,0.0967741935483871,0.0967341886197969,0.201559753367226,0.0174927113702624,0.0864406779661017
"ATL","DEN","F9",780,0.00769230769230769,0.125641025641026,0.0173825494182187,0.151378820755507,0.00865294667913938,0.122248803827751
"ATL","IAD","F9",268,0.00373134328358209,0.111940298507463,0.0236946512719919,0.156718303773828,0.00699300699300699,0.105555555555556
"ATL","IND","F9",103,0.00970873786407767,0.155339805825243,0.0599550859514193,0.240548823226431,0.0134680134680135,0.127044025157233
"ATL","LAS","F9",62,0.032258064516129,0.241935483870968,0.11934687086031,0.36523134946842,0.0247813411078717,0.16271186440678
"ATL","LAX","F9",62,0,0.17741935483871,0.0725036741710783,0.29487894234531,0.0102040816326531,0.128813559322034
"ATL","LGA","F9",62,0.0161290322580645,0.0645161290322581,0.0967341886197969,0.161681722196502,0.0174927113702624,0.0694915254237288
"ATL","MCO","F9",161,0.0186335403726708,0.236024844720497,0.0569930609727603,0.309149319098567,0.0186282811176969,0.194470046082949
"ATL","MIA","F9",117,0,0.153846153846154,0.0397103660714373,0.232824057262943,0.0072840790842872,0.128323699421965
"ATL","MSP","F9",62,0,0.112903225806452,0.0725036741710783,0.220847307025871,0.0102040816326531,0.0949152542372881
"ATL","MSY","F9",62,0.0161290322580645,0.338709677419355,0.0967341886197969,0.465788690903338,0.0174927113702624,0.213559322033898
"ATL","ORD","F9",232,0.0172413793103448,0.241379310344828,0.0459165398005545,0.301814050517203,0.017578125,0.209027777777778
"ATL","PHL","F9",102,0.00980392156862745,0.0490196078431373,0.0605163157619057,0.114281125578278,0.0135440180586907,0.0582278481012658
"AUS","ATL","F9",111,0,0.036036036036036,0.0417715150548425,0.0936475488141951,0.0075187969924812,0.0491017964071856
"AUS","DEN","F9",706,0.00708215297450425,0.0949008498583569,0.017275145264003,0.1194159943993,0.00819252432155658,0.0934383202099738
"AUS","LAS","F9",62,0,0.0806451612903226,0.0725036741710783,0.181864081595648,0.0102040816326531,0.0779661016949152
"AUS","ORD","F9",77,0,0.142857142857143,0.0591764199999356,0.242063477351542,0.00919842312746386,0.114285714285714
