"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"HNL","JFK","HA",313,0.00319488817891374,0.0255591054313099,0.0203396561546171,0.0511798092929686,0.00618238021638331,0.0330623306233062
"HNL","KOA","HA",6890,0.00188679245283019,0.00711175616835994,0.00329816293108601,0.00946184049567005,0.00206742089243669,0.00765908436510222
"HNL","LAS","HA",886,0.00451467268623025,0.0237020316027088,0.0122274585907437,0.0364796793179156,0.00561797752808989,0.0267515923566879
"HNL","LAX","HA",1107,0.001806684733514,0.029810298102981,0.00719423293153733,0.0419840620863466,0.00287599390965996,0.0319862424763543
"HNL","LIH","HA",6286,0.00143175310213172,0.00477251034043907,0.00280245578758605,0.00688154100065078,0.00163491165188958,0.0053926206244087
"HNL","OAK","HA",365,0.00547945205479452,0.0356164383561644,0.0216213027333306,0.0612110975375311,0.00772376192639709,0.040855106888361
"HNL","OGG","HA",9470,0.00401267159450898,0.00950369588173178,0.00555439936750609,0.011725771191239,0.00412772912039559,0.00988872559311358
"HNL","PDX","HA",365,0,0.0164383561643836,0.0130643674688631,0.036843353173782,0.00318037255792821,0.0242280285035629
"HNL","PHX","HA",365,0.00547945205479452,0.0438356164383562,0.0216213027333306,0.0712079563999186,0.00772376192639709,0.0479809976247031
"HNL","SAN","HA",365,0.00547945205479452,0.0219178082191781,0.0216213027333306,0.0440061466716371,0.00772376192639709,0.028978622327791
"HNL","SEA","HA",365,0.00273972602739726,0.0246575342465753,0.0174796508480862,0.0475166178389031,0.00545206724216265,0.031353919239905
"HNL","SFO","HA",365,0,0.0246575342465753,0.0130643674688631,0.0475166178389031,0.00318037255792821,0.031353919239905
"HNL","SJC","HA",364,0.00274725274725275,0.021978021978022,0.0175270454910247,0.0441250870099364,0.00546448087431694,0.029047619047619
"HNL","SMF","HA",365,0.00547945205479452,0.0438356164383562,0.0216213027333306,0.0712079563999186,0.00772376192639709,0.0479809976247031
"JFK","HNL","HA",313,0.00638977635782748,0.0479233226837061,0.0251567296213381,0.0789339168037451,0.00875837197320969,0.0520325203252033
"KOA","HNL","HA",6888,0.00246806039488966,0.0116144018583043,0.00401999026350395,0.0145099692760457,0.00264246323529412,0.0121255760368664
"KOA","LAX","HA",52,0.0192307692307692,0.0192307692307692,0.113750643429007,0.113750643429007,0.0188679245283019,0.0481481481481481
"KOA","OAK","HA",56,0,0,0.0796814524769205,0.0796814524769205,0.0106707317073171,0.0375
"KOA","OGG","HA",830,0,0.0132530120481928,0.00578541209791533,0.0241662831863616,0.00154661953159523,0.0171557562076749
"LAS","HNL","HA",886,0.00451467268623025,0.0440180586907449,0.0122274585907437,0.0601211183394687,0.00561797752808989,0.045859872611465
"LAX","HNL","HA",1107,0.002710027100271,0.031616982836495,0.00851670683605884,0.0440695171118385,0.00372187447132465,0.0337059329320722
"LAX","KOA","HA",52,0,0,0.0853117910592438,0.0853117910592438,0.0110062893081761,0.0388888888888889
"LAX","LIH","HA",68,0.0294117647058824,0.0441176470588235,0.109545850878197,0.129361940303448,0.0237430167597765,0.0580645161290323
"LAX","OGG","HA",480,0.0125,0.0625,0.028119645845636,0.0887051786301622,0.013328530259366,0.0638059701492537
"LIH","HNL","HA",6345,0.00220646178092987,0.00945626477541371,0.00377853414924581,0.0122335698410438,0.00239867916887324,0.0100296828620528
"LIH","LAX","HA",68,0.0147058823529412,0.0441176470588235,0.0887661804383699,0.129361940303448,0.0167597765363128,0.0580645161290323
"LIH","OAK","HA",43,0,0,0.10143816221461,0.10143816221461,0.011844331641286,0.0424242424242424
"LIH","OGG","HA",1459,0.00274160383824537,0.00822481151473612,0.00744287314445156,0.0146598929382719,0.00351974970668752,0.0106930693069307
"OAK","HNL","HA",365,0.00821917808219178,0.0410958904109589,0.0255873539040982,0.0678970682095982,0.00999545661063153,0.0456057007125891
"OAK","KOA","HA",56,0,0.0178571428571429,0.0796814524769205,0.106273143387114,0.0106707317073171,0.0464285714285714
"OAK","LIH","HA",43,0,0.0232558139534884,0.10143816221461,0.13514302822097,0.011844331641286,0.0525252525252525
"OAK","OGG","HA",365,0.00547945205479452,0.0328767123287671,0.0216213027333306,0.0578319300918365,0.00772376192639709,0.038479809976247
"OGG","HNL","HA",9410,0.00467587672688629,0.0144527098831031,0.00632371771998275,0.017136375612641,0.00478640408214903,0.0148109021762096
"OGG","KOA","HA",830,0,0.00963855421686747,0.00578541209791533,0.0195282062054933,0.00154661953159523,0.0137697516930023
"OGG","LAX","HA",480,0.0166666666666667,0.04375,0.0335927231240109,0.0668615457676757,0.0169308357348703,0.0470149253731343
