"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ","ORD","MQ",592,0.0439189189189189,0.143581081081081,0.0643144643716242,0.174898537721486
"ATL","LGA","MQ",744,0.0981182795698925,0.225806451612903,0.122231598546097,0.257918175566511
"ATL","MIA","MQ",440,0.0431818181818182,0.0840909090909091,0.0674454563944958,0.114704601538143
"ATL","ORD","MQ",234,0.0811965811965812,0.243589743589744,0.125006178423014,0.30387712145914
"BDL","ORD","MQ",232,0.0948275862068965,0.193965517241379,0.141044082209792,0.251145176668569
"BHM","DFW","MQ",385,0.0441558441558442,0.137662337662338,0.0706998204694033,0.176719519911191
"BHM","MIA","MQ",653,0.0214395099540582,0.0719754977029096,0.0363804978860377,0.095080388054371
"BNA","JFK","MQ",364,0.0769230769230769,0.173076923076923,0.110050127962321,0.216389508711538
"BNA","LGA","MQ",1678,0.0762812872467223,0.17342073897497,0.0903118668456142,0.192693304203593
"BNA","MIA","MQ",255,0.0196078431372549,0.0549019607843137,0.0471795599784173,0.0916948140386451
"BNA","ORD","MQ",2417,0.0599917252792718,0.182043856019859,0.0704258605706501,0.198271796245821
"BTR","DFW","MQ",1274,0.0565149136577708,0.1287284144427,0.0709695800677108,0.148698347145693
"BUF","ORD","MQ",870,0.0793103448275862,0.166666666666667,0.0997177331688364,0.193496192913369
"BWI","JFK","MQ",364,0.0714285714285714,0.178571428571429,0.103729419833172,0.22229789311309
"BWI","ORD","MQ",560,0.0625,0.230357142857143,0.0864533865894851,0.267831893160636
"CHS","DFW","MQ",646,0.0448916408668731,0.136222910216718,0.0644103774151306,0.165555669626043
"CHS","MIA","MQ",595,0.0168067226890756,0.0705882352941176,0.0314832294519207,0.0947745515763427
"CID","DFW","MQ",1349,0.0652335063009637,0.183839881393625,0.0800678154342938,0.205877422557737
"CID","ORD","MQ",1979,0.0692268822637696,0.150075795856493,0.0815623911872151,0.16685300148184
"CLE","DFW","MQ",129,0.0775193798449612,0.13953488372093,0.139911770684566,0.21236381558969
"CLE","JFK","MQ",365,0.0684931506849315,0.158904109589041,0.100284219131687,0.201020560095072
"CLE","LGA","MQ",158,0.0569620253164557,0.139240506329114,0.107432643212591,0.203969794099796
"CLE","MIA","MQ",403,0.0297766749379653,0.0694789081885856,0.0524655598361067,0.0996142438739566
"CLE","ORD","MQ",1383,0.0672451193058568,0.184381778741866,0.0820577935358052,0.206157126757551
"CMH","DFW","MQ",2,0,0,0.718233512793084,0.718233512793084
"CMH","JFK","MQ",730,0.0479452054794521,0.154794520547945,0.0665598584239798,0.183509424011546
"CMH","LGA","MQ",1905,0.089238845144357,0.186351706036745,0.103205983398811,0.204857378308527
"CMH","MIA","MQ",721,0.00832177531206657,0.102635228848821,0.0187938723360589,0.12758129158177
"CMH","ORD","MQ",2818,0.0518097941802697,0.149751596877218,0.0608378583112259,0.163700520005554
"CVG","DFW","MQ",2053,0.0521188504627375,0.130053580126644,0.0628681835780767,0.145640487742106
"CVG","JFK","MQ",365,0.0657534246575342,0.156164383561644,0.0971062233989397,0.198050626519753
"CVG","MIA","MQ",689,0.0145137880986938,0.0957910014513788,0.0272264889479461,0.120724939581499
"CVG","ORD","MQ",2529,0.0608936338473705,0.141162514827995,0.071140365996206,0.15558888686786
"DAY","DFW","MQ",1,0,0,0.838178046004133,0.838178046004133
"DAY","LGA","MQ",673,0.0980683506686478,0.193164933135215,0.123548350782838,0.22543099256558
"DAY","ORD","MQ",1403,0.059871703492516,0.143264433357092,0.0738958558182068,0.163013452291154
"DCA","JFK","MQ",1441,0.102012491325468,0.193615544760583,0.11911432969843,0.215287366703928
"DCA","STL","MQ",492,0.0548780487804878,0.166666666666667,0.0795377605922666,0.203036672776294
"DEN","LAX","MQ",192,0.0677083333333333,0.104166666666667,0.114508499912866,0.157340257429324
"DEN","ORD","MQ",131,0.0534351145038168,0.251908396946565,0.109604079247969,0.334692604032195
"DFW","BHM","MQ",385,0.0233766233766234,0.0649350649350649,0.0450868656005234,0.0951803628480422
"DFW","BTR","MQ",1274,0.0549450549450549,0.098116169544741,0.0692375501544366,0.11611085315417
"DFW","CHS","MQ",646,0.0356037151702786,0.109907120743034,0.0535473950106295,0.137076739313516
"DFW","CID","MQ",1349,0.0548554484803558,0.154929577464789,0.0686909293244896,0.175676583961246
"DFW","CLE","MQ",129,0.0310077519379845,0.108527131782946,0.0811067742937006,0.17671716312635
"DFW","CMH","MQ",2,0,0,0.718233512793084,0.718233512793084
"DFW","CVG","MQ",2049,0.0390434358223524,0.116642264519278,0.0485851917258939,0.131597227160091
"DFW","DAY","MQ",1,0,0,0.838178046004133,0.838178046004133
"DFW","DSM","MQ",702,0.0541310541310541,0.10968660968661,0.0740588587665581,0.135626515633433
"DFW","ELP","MQ",35,0,0.0285714285714286,0.12192176735602,0.162261568650035
"DFW","GRR","MQ",1341,0.0425055928411633,0.125279642058166,0.0550346249901322,0.144515377619793
"DFW","GSO","MQ",1003,0.0319042871385842,0.098703888334995,0.0451473079304169,0.119230528380599
"DFW","GSP","MQ",764,0.0405759162303665,0.12434554973822,0.0576036178467864,0.150275795833412
"DFW","HOU","MQ",1162,0.0593803786574871,0.145438898450947,0.0748980763445139,0.167375327673234
"DFW","ICT","MQ",250,0.056,0.12,0.093480052611869,0.167626186508051
"DFW","JAN","MQ",2149,0.0525825965565379,0.13168915774779,0.0631058758649483,0.146980896157942
"DFW","LIT","MQ",989,0.0525783619817998,0.130434782608696,0.0687731500987752,0.153401541677449
"DFW","MAF","MQ",2142,0.0569561157796452,0.15499533146592,0.0678555693827775,0.171289240537249
"DFW","MEM","MQ",27,0.037037037037037,0.037037037037037,0.202974824742336,0.202974824742336
