"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL","BWI","NK",13,0.0769230769230769,0.153846153846154,0.361389470116088,0.441052854634166
"ATL","CLE","NK",55,0.0727272727272727,0.109090909090909,0.180393249165347,0.224735155889547
"ATL","DFW","NK",307,0.0293159609120521,0.127035830618893,0.0563179590236656,0.170200272759563
"ATL","DTW","NK",181,0.00552486187845304,0.237569060773481,0.0347886459705708,0.306330650280602
"ATL","FLL","NK",543,0.0184162062615101,0.112338858195212,0.0344639614024276,0.142472374328064
"ATL","IAH","NK",181,0.00552486187845304,0.0828729281767956,0.0347886459705708,0.134368663820043
"ATL","LAS","NK",55,0.0363636363636364,0.363636363636364,0.133254698620516,0.498792503062035
"ATL","MCO","NK",55,0,0.0363636363636364,0.0810182098335253,0.133254698620516
"ATL","ORD","NK",182,0,0.159340659340659,0.0258773087531671,0.221318819648663
"ATL","PHL","NK",13,0,0.538461538461538,0.273932038624723,0.771527414318836
"ATL","TPA","NK",13,0.153846153846154,0.538461538461538,0.441052854634166,0.771527414318836
"BOS","CLE","NK",76,0.0263157894736842,0.0921052631578947,0.0987339717240448,0.183155413805313
"BOS","DFW","NK",77,0.025974025974026,0.168831168831169,0.097530668792275,0.271506901083963
"BOS","DTW","NK",76,0.0394736842105263,0.210526315789474,0.116626587736527,0.318374246984916
"BOS","FLL","NK",181,0.0386740331491713,0.270718232044199,0.0802823486512618,0.341382411110001
"BOS","LAS","NK",76,0.0526315789473684,0.276315789473684,0.133896094946949,0.388703693114431
"BOS","ORD","NK",76,0.0131578947368421,0.118421052631579,0.0799816136699161,0.214504464156307
"BOS","PBI","NK",105,0.0380952380952381,0.0857142857142857,0.0987361171839249,0.158620595456185
"BOS","RSW","NK",145,0.0413793103448276,0.124137931034483,0.0906234721171569,0.190082980840725
"BWI","ATL","NK",13,0.0769230769230769,0.153846153846154,0.361389470116088,0.441052854634166
"BWI","DFW","NK",181,0.0165745856353591,0.110497237569061,0.0508718255814208,0.166515695925879
"BWI","FLL","NK",362,0.00828729281767956,0.0883977900552486,0.025796403090207,0.123243251956216
"BWI","IAH","NK",96,0.0729166666666667,0.270833333333333,0.147236352085017,0.369799777282575
"BWI","LAS","NK",181,0.0165745856353591,0.143646408839779,0.0508718255814208,0.204050214315745
"BWI","MSP","NK",76,0.0394736842105263,0.144736842105263,0.116626587736527,0.244990529759482
"BWI","ORD","NK",257,0.0194552529182879,0.147859922178988,0.0468201590338554,0.197852649568945
"CLE","ATL","NK",55,0.0727272727272727,0.109090909090909,0.180393249165347,0.224735155889547
"CLE","BOS","NK",76,0.0263157894736842,0.263157894736842,0.0987339717240448,0.374843627738579
"CLE","DFW","NK",146,0.0273972602739726,0.0958904109589041,0.072,0.157075366680028
"CLE","FLL","NK",146,0.0205479452054795,0.0684931506849315,0.0626464576850509,0.124301993935563
"CLE","LAS","NK",122,0.00819672131147541,0.0737704918032787,0.0509731259653309,0.137595965212081
"CLE","LAX","NK",76,0.0131578947368421,0.25,0.0799816136699161,0.360885402880712
"CLE","MCO","NK",122,0.00819672131147541,0.114754098360656,0.0509731259653309,0.186308138685861
"CLE","RSW","NK",52,0,0.0576923076923077,0.0853117910592438,0.165496781868825
"CLE","TPA","NK",39,0,0.0769230769230769,0.110741083133817,0.214048731539008
"DEN","DFW","NK",257,0.0272373540856031,0.182879377431907,0.0570714337673801,0.236082642528696
"DEN","DTW","NK",181,0.0497237569060773,0.226519337016575,0.0942325562800168,0.294540898458645
"DEN","FLL","NK",180,0.0333333333333333,0.105555555555556,0.0735462641220924,0.1610124974132
"DEN","IAH","NK",181,0.00552486187845304,0.149171270718232,0.0347886459705708,0.21021734106876
"DEN","LAS","NK",362,0.0220994475138122,0.143646408839779,0.0443649068786775,0.184616101824199
"DEN","LAX","NK",76,0.0263157894736842,0.263157894736842,0.0987339717240448,0.374843627738579
"DEN","MSP","NK",76,0.0921052631578947,0.171052631578947,0.183155413805313,0.274776500273556
"DEN","ORD","NK",356,0.0308988764044944,0.151685393258427,0.055776958202913,0.193759398394749
"DEN","PHX","NK",181,0.0165745856353591,0.138121546961326,0.0508718255814208,0.197859747018418
"DEN","SAN","NK",122,0.00819672131147541,0.0491803278688525,0.0509731259653309,0.106939101627211
"DFW","ATL","NK",307,0.0293159609120521,0.104234527687296,0.0563179590236656,0.144713796683443
"DFW","BOS","NK",76,0,0.0789473684210526,0.0599106001094224,0.167082039324994
"DFW","BWI","NK",181,0,0.104972375690608,0.0260167393704389,0.160158392903016
"DFW","CLE","NK",146,0.0273972602739726,0.184931506849315,0.072,0.257822206907112
"DFW","DEN","NK",258,0.0271317829457364,0.127906976744186,0.0568551375160891,0.17562413723565
"DFW","DTW","NK",181,0.0110497237569061,0.154696132596685,0.0430082186368897,0.216362111364303
"DFW","FLL","NK",379,0.0131926121372032,0.0897097625329815,0.0319658586549927,0.123817537309999
"DFW","LAS","NK",438,0.0159817351598174,0.134703196347032,0.0337977372452669,0.170820392028865
"DFW","LAX","NK",257,0.0155642023346304,0.132295719844358,0.0415415401575288,0.180619617971736
"DFW","LGA","NK",181,0.0552486187845304,0.12707182320442,0.101079663742531,0.185404384321652
"DFW","MCI","NK",137,0.0291970802919708,0.18978102189781,0.0765504451888069,0.265773869071635
"DFW","MCO","NK",273,0.0293040293040293,0.117216117216117,0.0585174884600831,0.162176057501281
"DFW","MSP","NK",181,0.0110497237569061,0.138121546961326,0.0430082186368897,0.197859747018418
"DFW","MSY","NK",181,0.0386740331491713,0.0994475138121547,0.0802823486512618,0.15376742113804
"DFW","OAK","NK",182,0.021978021978022,0.0824175824175824,0.0581683654484677,0.133657742387241
"DFW","ORD","NK",362,0.0331491712707182,0.174033149171271,0.0583027207097723,0.217548527074727
"DFW","PDX","NK",76,0.0263157894736842,0.105263157894737,0.0987339717240448,0.198950997288745
"DFW","PHL","NK",182,0.043956043956044,0.274725274725275,0.0868397401705422,0.34538334138724
"DFW","PHX","NK",181,0.0497237569060773,0.154696132596685,0.0942325562800168,0.216362111364303
"DFW","RSW","NK",105,0,0.0761904761904762,0.0440583313375888,0.147040918327517
"DFW","SAN","NK",181,0.0110497237569061,0.0828729281767956,0.0430082186368897,0.134368663820043
"DFW","TPA","NK",151,0.0264900662251656,0.152317880794702,0.0696982240208975,0.220374899340597
"DTW","ATL","NK",182,0.010989010989011,0.181318681318681,0.0427782553027761,0.245488993390709
"DTW","BOS","NK",76,0.0131578947368421,0.0657894736842105,0.0799816136699161,0.150683759780501
"DTW","DEN","NK",181,0.0165745856353591,0.121546961325967,0.0508718255814208,0.179137011598982
"DTW","DFW","NK",181,0.0165745856353591,0.215469613259669,0.0508718255814208,0.282694104645759
"DTW","FLL","NK",390,0.0102564102564103,0.115384615384615,0.0275673464654448,0.151948072881572
"DTW","IAH","NK",181,0.0331491712707182,0.132596685082873,0.0731523904139122,0.191644863519498
"DTW","LAS","NK",543,0.00552486187845304,0.12707182320442,0.0172790670094594,0.158538565153159
