"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ","CLT","US",26,0,0.0384615384615385,0.157750673475196,0.209544511501033,0.0138339920948617,0.0634146341463415
"ABQ","PHX","US",22,0,0,0.181440956997963,0.181440956997963,0.01440329218107,0.0538461538461538
"ALB","CLT","US",719,0.00973574408901252,0.0389429763560501,0.0206950742124937,0.0563274862790849,0.0105766809367917,0.0415483870967742
"ANC","PHX","US",337,0.0178041543026706,0.0534124629080119,0.0398536785030026,0.0840997462637481,0.0179524502668607,0.0564885496183206
"ATL","CLT","US",2973,0.00840901446350488,0.0440632357887656,0.0125445316854315,0.0522485762085097,0.00866084902565448,0.0446351931330472
"ATL","PHL","US",1736,0.0207373271889401,0.0610599078341014,0.028846815926954,0.073637492881262,0.0206492932862191,0.0614955357142857
"ATL","PHX","US",1208,0.00910596026490066,0.0405629139072848,0.0166438324115506,0.0536131366595321,0.00966334164588529,0.0420886075949367
"AUS","CLT","US",359,0.011142061281337,0.0362116991643454,0.0299127365047707,0.0622155307935028,0.0124366651312759,0.0414457831325301
"AUS","PHL","US",329,0.0212765957446809,0.0820668693009119,0.0447998905194981,0.117990001291149,0.020781791192479,0.081038961038961
"AUS","PHX","US",336,0.00297619047619048,0.0416666666666667,0.0189670145655234,0.0700279308278577,0.00583657587548638,0.0464285714285714
"BDL","CLT","US",1756,0.0159453302961276,0.0427107061503417,0.0232163000424069,0.0535009833420206,0.0160550458715596,0.0437086092715232
"BDL","PHL","US",110,0,0.0272727272727273,0.0421360225982618,0.0822189753071966,0.00755939524838013,0.0433734939759036
"BHM","CLT","US",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"BNA","CLT","US",1373,0.0189366351056082,0.0407865986890022,0.0279410711019381,0.0529464885352482,0.0189200386686922,0.0421273617914626
"BNA","LAX","US",27,0,0,0.152763434119102,0.152763434119102,0.0136986301369863,0.0506024096385542
"BOI","PHX","US",818,0.00611246943765281,0.0403422982885086,0.0149256979574093,0.0566636475382002,0.00716524854455889,0.0425629290617849
"BOS","CLT","US",3229,0.0207494580365438,0.0579126664602044,0.0264259227464438,0.066711928499583,0.0207009260940621,0.0582039573820396
"BOS","DCA","US",5041,0.0408649077563975,0.0781590954175759,0.0468272625329941,0.0860665169833966,0.0405378992220789,0.0781243868942515
"BOS","LGA","US",4171,0.0810357228482378,0.129944857348358,0.0899029143316017,0.140719164420639,0.0799302906127832,0.12921693872723
"BOS","PHL","US",4517,0.0298870932034536,0.0832410892185079,0.0354018985657196,0.0918432660816342,0.0297025390880188,0.0831401705663678
"BOS","PHX","US",1201,0.0266444629475437,0.0624479600333056,0.0377561840582812,0.0779916590227356,0.0261714464817427,0.0630071599045346
"BUF","CLT","US",1348,0.0200296735905045,0.0437685459940653,0.0293300246109391,0.0564083186280964,0.0199550309162451,0.045014245014245
"BWI","CLT","US",3043,0.0157739073282944,0.0565231679263884,0.0210126755456648,0.0655127890368175,0.0158424732217305,0.0568570506615037
"BWI","PHL","US",252,0.0119047619047619,0.0555555555555556,0.0368290913905453,0.0927576823922454,0.0134474327628362,0.0590909090909091
"BWI","PHX","US",832,0.00961538461538462,0.0552884615384615,0.0194815971698676,0.0735080561122753,0.0103615520282187,0.0565315315315315
"CHS","CLT","US",268,0.0111940298507463,0.0298507462686567,0.0346722099628662,0.059585317786989,0.0128205128205128,0.0376543209876543
"CLE","CLT","US",1270,0.0078740157480315,0.0220472440944882,0.0148316304015035,0.0320445099985324,0.00847457627118644,0.0242835595776772
"CLE","PHL","US",100,0.01,0.05,0.0616708943128986,0.116445397892612,0.0136986301369863,0.058974358974359
"CLE","PHX","US",258,0.0116279069767442,0.0465116279069767,0.0359895318435837,0.081223794455594,0.0132052821128451,0.0515923566878981
"CLT","ABQ","US",27,0,0.148148148148148,0.152763434119102,0.335464950020664,0.0136986301369863,0.0987951807228916
"CLT","ALB","US",719,0.00973574408901252,0.0417246175243394,0.0206950742124937,0.059558094800813,0.0105766809367917,0.0441290322580645
"CLT","ATL","US",2973,0.0067272115708039,0.0538176925664312,0.0105294273155996,0.0627321257101659,0.00702053671018962,0.0542093100033014
"CLT","AUS","US",359,0.00278551532033426,0.0250696378830084,0.017767926852497,0.048297445309702,0.00552740672501152,0.0318072289156626
"CLT","BDL","US",1756,0.0130979498861048,0.0489749430523918,0.019845865485228,0.0603901176824204,0.0133245958934032,0.0497792494481236
"CLT","BHM","US",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"CLT","BNA","US",1371,0.0102115244347192,0.0437636761487965,0.0174205951613881,0.056282817727649,0.010648596321394,0.044989488437281
"CLT","BOS","US",3234,0.0185528756957328,0.069882498453927,0.0239643355508506,0.0794060241608054,0.018554333373625,0.0699696048632219
"CLT","BUF","US",1348,0.0140949554896142,0.0459940652818991,0.0222586492336781,0.0588880997182062,0.0143338954468803,0.0471509971509972
"CLT","BWI","US",3044,0.0114980289093298,0.0542049934296978,0.0161061221441364,0.0630340154887572,0.0116696588868941,0.0545806451612903
"CLT","CHS","US",268,0.00746268656716418,0.0447761194029851,0.0293032327255071,0.078265387659921,0.00990675990675991,0.05
"CLT","CLE","US",1270,0.0031496062992126,0.0291338582677165,0.00854586327516356,0.040264785475065,0.004014272970562,0.0310708898944193
"CLT","CMH","US",107,0.00934579439252336,0.0186915887850467,0.0578105295919729,0.0714168167621199,0.013172338090011,0.0380368098159509
"CLT","DCA","US",2665,0.0135084427767355,0.0570356472795497,0.0188238093909665,0.0667263684194564,0.0136486387854901,0.0574053656743844
"CLT","DEN","US",1909,0.00838135149292824,0.0550026191723415,0.0138239763330192,0.0664408048122581,0.0087692772905957,0.0555725190839695
"CLT","DFW","US",2711,0.0140169679085208,0.0604942825525636,0.0193574900310574,0.0703381275776667,0.0141411241116933,0.0607878568847127
"CLT","DSM","US",29,0,0,0.143678111132405,0.143678111132405,0.0134357005758157,0.0494117647058824
"CLT","DTW","US",1954,0.00921187308085977,0.0440122824974411,0.014759179778254,0.0543080724703155,0.00956041789867928,0.0448756218905473
"CLT","EWR","US",3220,0.0217391304347826,0.096583850931677,0.0275372193483818,0.107513080286348,0.0216678805535324,0.0962148962148962
"CLT","FLL","US",2716,0.00478645066273932,0.0430780559646539,0.00835462455905316,0.051593687748757,0.00515907136715391,0.0437229437229437
"CLT","GSO","US",193,0.0103626943005181,0.0259067357512953,0.0404019421598084,0.0619118824962198,0.0126771066368382,0.0369477911646586
"CLT","IAH","US",2471,0.0113314447592068,0.0594900849858357,0.016520346717085,0.0697643821912526,0.0115466184902993,0.0598337950138504
"CLT","IND","US",614,0.00651465798045603,0.0179153094462541,0.0175973139609417,0.0325806707268452,0.00783517121300058,0.0226865671641791
"CLT","JAX","US",2216,0.00451263537906137,0.0406137184115523,0.00851777161449376,0.0499016342248706,0.00497555865921788,0.0414612676056338
"CLT","JFK","US",1914,0.0240334378265413,0.0945663531870428,0.0321595006199239,0.108828175487237,0.0238286748441585,0.094010152284264
"CLT","LAS","US",1698,0.00353356890459364,0.0447585394581861,0.0080161833053791,0.0559659396682367,0.00417324610872998,0.0457240592930445
"CLT","LAX","US",2123,0.00471031559114461,0.0438059349976448,0.0088898128799298,0.0536216675217617,0.00518606132290055,0.0446076181734741
"CLT","LGA","US",3468,0.0279700115340254,0.0997693194925029,0.0341630149775568,0.110423497626699,0.0277715059832919,0.0993757094211124
