"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",22502,0.0142653986312328,0.0652386454537374,0.0159373294775916,0.068609909517175,0.0142798929893875,0.0652628779147088
"ALB",7951,0.0174820777260722,0.0609986165262231,0.0206835039625338,0.0665950753658292,0.0174927113702624,0.0610965405270388
"ANC",11386,0.00658703671175127,0.0330230107149131,0.00829591805475388,0.0365437902567072,0.00666596865947719,0.0332284565635378
"ATL",285006,0.00904191490705459,0.0504234998561434,0.00940355473104472,0.0512496080317645,0.00904444067164022,0.050428327872533
"AUS",43260,0.0130374479889043,0.0643781784558484,0.0141750472102637,0.0667790010419455,0.013047130277465,0.064391910610398
"BDL",21044,0.0210036114807071,0.0647690553126782,0.023075624961761,0.0682466574512279,0.0209951134512671,0.0647962085308057
"BHM",13870,0.0170872386445566,0.0785868781542898,0.0194357631578687,0.0832807118943291,0.017095488053237,0.0785724544018383
"BNA",52391,0.0246988986658014,0.0792502529060335,0.0260922599048589,0.0816430515816632,0.0246901814882724,0.0792457147215284
"BOI",11695,0.0117144078666097,0.0666096622488243,0.0138848751632264,0.0713731851676094,0.0117585087764014,0.0666496468385669
"BOS",113458,0.0276578117012463,0.0860494632374976,0.0286484441275875,0.0877292841476772,0.0276518234313839,0.0860440121923287
"BTR",8183,0.0298179151900281,0.113528045948918,0.0338211678402665,0.120734107515739,0.0297159187232085,0.113266173079257
"BUF",18118,0.0236229164366928,0.0736836295396843,0.0259892888840887,0.077661442212287,0.0236022250071455,0.0736876857048531
"BUR",20838,0.021019291678664,0.0619061330262021,0.0231027329000503,0.0653308202964051,0.0210106535585181,0.0619412271465493
"BWI",84605,0.0183677087642574,0.080645351929555,0.01931429908794,0.0825375903296265,0.0183679301654932,0.0806416177460696
"CHS",13317,0.024479987985282,0.0804986107982278,0.0273082218851839,0.0853424019241203,0.024447066202715,0.0804755851342257
"CID",7526,0.0458410842412968,0.130746744618655,0.05091465193302,0.138717845612043,0.0455717518286586,0.13033500395674
"CLE",36697,0.0249066681200098,0.0846118211297926,0.0265870366221023,0.0875632211149996,0.024893805646657,0.0845971757407559
"CLT",107961,0.0121432739600411,0.0592899287705746,0.0128284968749866,0.060743938822405,0.0121477800959308,0.0592980734514012
"CMH",26709,0.0288292335916732,0.0947620652214609,0.0309497589854915,0.098407766798548,0.0288005615250782,0.0947207173547543
"COS",8421,0.021375133594585,0.0936943355895974,0.0247701426743007,0.100242590034366,0.0213507214990231,0.0935708387401203
"CVG",21707,0.0291150320173216,0.0949002625881052,0.0314871716324132,0.0989543636359653,0.0290787891030291,0.094849055736801
"DAL",53124,0.0174497402304043,0.0763684963481666,0.0186233941690262,0.0787053224818733,0.0174513902464699,0.0763670552839413
"DAY",9591,0.0358669586070274,0.0999895735585445,0.0398671421377677,0.106285904724944,0.0357327595125282,0.0998445112470198
"DCA",77711,0.0297512578656818,0.0834244830204218,0.030994852520181,0.0854300042179887,0.0297404938150983,0.0834184165520079
"DEN",182859,0.0103631759989938,0.0786234202308883,0.0108477719327517,0.0798915192159672,0.0103665689630479,0.0786223109094388
"DFW",206836,0.0244203136784699,0.0987062213541163,0.025108400781963,0.100025678392673,0.024418204524453,0.0986998047290374
"DSM",9529,0.0354706684856753,0.113338230664288,0.0394644462639166,0.119998076760614,0.0353387059827992,0.113114241001565
"DTW",95867,0.0130597598756611,0.0685741704653322,0.0138139688784621,0.0702248225714787,0.0130641156863195,0.0685779218748371
"ELP",15107,0.0131065069173231,0.066724035215463,0.0150947304000189,0.0709019981474222,0.0131338014253534,0.06675460001319
"EWR",106459,0.0325195615213369,0.100498783569261,0.0336246459222463,0.102356858863257,0.0325097480433513,0.100485377646341
"FAT",8844,0.0170737222976029,0.0853686114880145,0.0200637217738845,0.0915032417252718,0.0170867342362544,0.0853033707865169
"FLL",68438,0.0132967065080803,0.0706478856775476,0.0142017316149055,0.0726321824502371,0.0133025460787118,0.0706514439220954
"GEG",10068,0.00695272149384188,0.039829161700437,0.00882742222629728,0.0439176217852528,0.00703919867497437,0.0400237060450415
"GRR",11991,0.031356850971562,0.0867317154532566,0.0347033642695966,0.0920126887975639,0.0312774527191659,0.086677181040923
"GSO",8702,0.0367731555964146,0.105378074005976,0.0410313317368224,0.112145734923883,0.0366176001458324,0.105183831925097
"GSP",7278,0.0259686727122836,0.0770816158285243,0.0299746839432687,0.083573725379748,0.0258934885492031,0.0770657212980638
"HNL",41092,0.00569453908303319,0.0242139589214446,0.00648813110005528,0.0257781751257632,0.00571814454225694,0.0242830757266453
"HOU",53777,0.0168659464083158,0.0766684642133254,0.0180135642090513,0.0789949595124746,0.0168683916348821,0.0766667285865547
"HPN",8250,0.0421818181818182,0.11830303030303,0.0468396753953189,0.125602582609022,0.0419689617066257,0.118011076330364
"IAD",46319,0.018653252445001,0.0952524881797966,0.0199534359074083,0.098015817799085,0.0186531937181803,0.0952280323450135
"IAH",137428,0.0148805192537183,0.0802602089821579,0.0155481339876055,0.0817383071200692,0.0148825627330855,0.0802580663931803
"ICT",9108,0.0292050944224857,0.0936539306104524,0.0329517478411854,0.099941780339155,0.0291183901036676,0.0935399388913138
"IND",27462,0.0201369164663899,0.07311921928483,0.0219048425640206,0.0763242836930336,0.0201327658585477,0.0731230467330475
"JAN",7667,0.0324768488326595,0.100952132515978,0.0367831124112138,0.108045944237382,0.0323422283071995,0.10076395183219
"JAX",20354,0.0144934656578559,0.0638695096786872,0.0162695270800646,0.0673848431425279,0.0145086444892605,0.0639000489955904
"JFK",97026,0.0228392389668749,0.0928617071712737,0.023818494445137,0.0947421537808239,0.022835969071443,0.0928514039677798
"KOA",11686,0.00504877631353757,0.0244737292486736,0.00655087177998479,0.0275038857070944,0.00513553038805564,0.0247146993697837
"LAS",138618,0.00919793966151582,0.0670908540016448,0.00972529840976437,0.0684473566263906,0.00920304672471325,0.0670940479109278
"LAX",203565,0.0115736988185592,0.0655318939896348,0.0120576039078823,0.0666374371992697,0.011576299767924,0.0655344979152445
"LGA",106948,0.046742342072783,0.123115906795826,0.0480504263570646,0.125139488729036,0.0467225797770951,0.123090725580352
"LGB",10357,0.0099449647581346,0.0584145988220527,0.0121020937061831,0.0631994570657613,0.0100074768505205,0.058503793335254
"LIH",11416,0.00578135949544499,0.0216362999299229,0.00739432989553722,0.024537085157526,0.00586535783904205,0.0218967921896792
"LIT",12386,0.0293072824156306,0.103019538188277,0.0324974109025897,0.108612629454729,0.029242769556704,0.102893425494294
"MAF",9610,0.0356919875130073,0.10270551508845,0.0396791891385475,0.109067385630768,0.0355594102341717,0.102545003103662
"MCI",43224,0.0140893947806774,0.0657273736812882,0.0152698761477151,0.068151967078,0.0140972581479565,0.0657393715341959
"MCO",108785,0.0125568782460817,0.0793399825343568,0.0132504793588943,0.0809944228254164,0.0125610645580295,0.0793377495612867
"MDW",87478,0.0252863577127964,0.0863645716637326,0.0263700860430348,0.0882831100307185,0.0252806293773386,0.0863573011629767
"MEM",15673,0.027435717475914,0.0845402922222931,0.0301711087313011,0.0890925787780023,0.0273936068884063,0.0845063258948439
"MIA",73223,0.0132608606585363,0.0697048741515644,0.0141337216477177,0.0716107447692501,0.013266355790456,0.0697089207003371
"MKE",33041,0.0253018976423232,0.0835325807330287,0.0270890493774178,0.086627960284257,0.0252867176789607,0.0835181436383962
"MSN",10635,0.0398683591913493,0.100235072872591,0.0438429032517602,0.10621234838442,0.0397191462344307,0.100102890281545
"MSP",94493,0.00979966770025293,0.0563110494957298,0.010461985951513,0.0578298618755544,0.00980667920083072,0.0563221186897799
"MSY",41116,0.0132065376009339,0.0641112948730421,0.0143818098936728,0.0665703620410418,0.0132164151566354,0.0641261051199845
"OAK",44657,0.0140627449224086,0.0581767695993909,0.0152223255094542,0.0604323104981598,0.0140704011875115,0.058197839554492
"OGG",21672,0.00756736803248431,0.0306847545219638,0.00884246808930502,0.0331173539895252,0.00760557680988817,0.030798969072165
"OKC",18884,0.0199110357975005,0.0748782037703876,0.0220506875416402,0.0788004850245198,0.0199059032026668,0.0748785638859557
"OMA",18993,0.0193229084399516,0.0680250618648976,0.0214267405669741,0.0717719075981267,0.0193201246053639,0.0680455666964145
"ONT",20046,0.0134191359872294,0.0620073830190562,0.0151471767280038,0.0655033924081709,0.0134385623123869,0.0620435777534574
"ORD",233913,0.0316656192687025,0.120720096788122,0.0323978284373774,0.122073876978817,0.0316614256616359,0.120709153776782
"ORF",10831,0.0317606869171822,0.0889114578524605,0.0353117981313253,0.094536011941685,0.0316700592323632,0.0888399007991182
"PBI",22383,0.0188982710092481,0.083232810615199,0.0208084071550985,0.0870011788603717,0.0188973292605819,0.0832122643611569
"PDX",48839,0.00706402669997338,0.0441450480149061,0.00786444927427846,0.0460420717574612,0.00708178811061001,0.0441803865425913
"PHL",70765,0.0188652582491345,0.0870910760969406,0.0199160073552729,0.0892345404062271,0.0188649947346281,0.087081515369735
"PHX",150671,0.00777853734295253,0.0545559530367489,0.00824463166194079,0.0557380662761241,0.00778394413922208,0.0545635486674584
"PIT",27138,0.0162502763652443,0.06109514334144,0.0178597814383969,0.064068787952888,0.016256816544912,0.061123777303817
"PNS",7805,0.02152466367713,0.0723894939141576,0.0250725323250235,0.0784814968452434,0.0214969163219208,0.0724080905737184
"PSP",10762,0.0160750789816019,0.0798178777178963,0.0186923277264776,0.0852024938320072,0.0160927176761525,0.0797929376964319
"PVD",12194,0.0253403313104806,0.0685583073642775,0.0283503733870387,0.073280237697968,0.025299123007205,0.0685877551020408
"RDU",36051,0.0258522648470223,0.0808576738509334,0.0275780319825862,0.0837763637906724,0.0258372040236726,0.0808485889162766
"RIC",16560,0.0293478260869565,0.0919685990338164,0.0320892147507821,0.0965600315973505,0.029299317110705,0.091911410688493
"RNO",14557,0.0129834443910146,0.0638180943875799,0.01500299895386,0.0679926838930849,0.0130123973155096,0.0638609457332512
"ROC",7969,0.0284853808507968,0.0883423265152466,0.0324630231472371,0.0949120773802006,0.0283931279679769,0.0882492211838006
"RSW",27171,0.0133598321740091,0.0670567884877259,0.0148280578150406,0.0701564023799049,0.0133743421100924,0.0670731259411613
